collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
42,1,1,CLEAR,0,0.0,off,no_alert,,321,0.017012352998790448,7826491368805603054,32948,43,1.428102,14211.052469203,6.460910382998918
43,1,1,CLEAR,0,0.0,off,no_alert,,323,0.011460886000350001,7826491368805603054,32950,44,1.458371,14211.086596262,6.495037441998647
44,1,1,CLEAR,0,0.0,off,no_alert,,325,0.0056029870011116145,7826491368805603054,32952,45,1.490158,14211.120938996,6.529380175999904
45,1,1,CLEAR,0,0.0,off,no_alert,,326,0.019528160000845673,7826491368805603054,32953,46,1.522092,14211.154945999,6.563387178999619
46,1,1,CLEAR,0,0.0,off,no_alert,,328,0.01255375499931688,7826491368805603054,32955,47,1.554424,14211.189071854,6.597513033999348
47,1,1,CLEAR,0,0.0,off,no_alert,,330,0.006234874999790918,7826491368805603054,32957,48,1.587164,14211.223129272,6.631570452000233
48,1,1,CLEAR,0,0.0,off,no_alert,,332,0.0020351479997771094,7826491368805603054,32959,49,1.622423,14211.257117702,6.665558881999459
49,1,1,CLEAR,0,0.0,off,no_alert,,333,0.016199550998862833,7826491368805603054,32960,50,1.654249,14211.291159548,6.699600727999496
50,1,1,CLEAR,0,0.0,off,no_alert,,335,0.009722734001115896,7826491368805603054,32962,51,1.685992,14211.325033223,6.733474402999491
51,1,1,CLEAR,0,0.0,off,no_alert,,337,0.003817364999122219,7826491368805603054,32964,52,1.722348,14211.358869227,6.767310406999968
52,1,1,CLEAR,0,0.0,off,no_alert,,338,0.017371108999213902,7826491368805603054,32965,53,1.754565,14211.392753608,6.801194787998611
53,1,1,CLEAR,0,0.0,off,no_alert,,340,0.01190745500025514,7826491368805603054,32967,54,1.785969,14211.426936178,6.835377358000187
54,1,1,CLEAR,0,0.0,off,no_alert,,342,0.006268545999773778,7826491368805603054,32969,55,1.824516,14211.461619056,6.870060235998608
55,1,1,CLEAR,0,0.0,off,no_alert,,344,0.0008177099989552516,7826491368805603054,32971,56,1.856628,14211.496097601,6.904538781000156
56,1,1,CLEAR,0,0.0,off,no_alert,,345,0.015046833001179039,7826491368805603054,32972,57,1.887413,14211.530393365,6.9388345449988265
57,1,1,CLEAR,0,0.0,off,no_alert,,347,0.008980430999145028,7826491368805603054,32974,58,1.922426,14211.564563817,6.9730049970003165
58,1,1,CLEAR,0,0.0,off,no_alert,,349,0.0018623169999045786,7826491368805603054,32976,59,1.954461,14211.598717221,7.007158401000197
59,1,1,CLEAR,0,0.0,off,no_alert,,350,0.01765499100110901,7826491368805603054,32977,60,1.987504,14211.632925785,7.041366964998815
60,1,1,CLEAR,0,0.0,off,no_alert,,352,0.011801554999692598,7826491368805603054,32979,61,2.019969,14211.667169335,7.0756105149994255
61,1,1,CLEAR,0,0.0,off,no_alert,,353,0.0261336929997924,7826491368805603054,32980,62,2.054209,14211.701225977,7.109667156999421
62,1,1,CLEAR,0,0.0,off,no_alert,,355,0.01999047299977974,7826491368805603054,32982,63,2.087412,14211.735317298,7.143758477999654
63,1,1,CLEAR,0,0.0,off,no_alert,,357,0.012802196000848198,7826491368805603054,32984,64,2.124662,14211.769513391,7.1779545709996455
64,1,1,CLEAR,0,0.0,off,no_alert,,359,0.008078000000750762,7826491368805603054,32986,65,2.159232,14211.803590932,7.212032112000088
65,1,1,CLEAR,0,0.0,off,no_alert,,361,0.0026236370013066335,7826491368805603054,32988,66,2.190304,14211.837987622,7.246428802000082
66,1,1,CLEAR,0,0.0,off,no_alert,,362,0.017021197998474236,7826491368805603054,32989,67,2.23368,14211.872188176,7.280629355998826
67,1,1,CLEAR,0,0.0,off,no_alert,,364,0.011027295999156195,7826491368805603054,32991,68,2.269485,14211.906259317,7.314700496999649
68,1,1,CLEAR,0,0.0,off,no_alert,,366,0.004986215000826633,7826491368805603054,32993,69,2.299488,14211.940095309,7.348536489000253
69,1,1,CLEAR,0,0.0,off,no_alert,,367,0.018328590000237455,7826491368805603054,32994,70,2.342162,14211.974022588,7.38246376799907
70,1,1,CLEAR,0,0.0,off,no_alert,,369,0.011331683001117199,7826491368805603054,32996,71,2.378737,14212.0078906,7.416331779999382
71,1,1,CLEAR,0,0.0,off,no_alert,,371,0.006615161000809167,7826491368805603054,32998,72,2.411018,14212.041754001,7.450195180999799
72,1,1,CLEAR,0,0.0,off,no_alert,,373,0.0004048490009154193,7826491368805603054,33000,73,2.44424,14212.075878406,7.484319585999401
73,1,1,CLEAR,0,0.0,off,no_alert,,374,0.014678899000500678,7826491368805603054,33001,74,2.485472,14212.109835857,7.5182770369992795
74,1,1,CLEAR,0,0.0,off,no_alert,,376,0.008224698000049102,7826491368805603054,33003,75,2.515724,14212.143831291,7.552272470999014
75,1,1,CLEAR,0,0.0,off,no_alert,,378,0.00239161200079252,7826491368805603054,33005,76,2.548683,14212.177735852,7.586177031998886
76,1,1,CLEAR,0,0.0,off,no_alert,,379,0.0159863110002334,7826491368805603054,33006,77,2.577497,14212.211566571,7.62000775100023
77,1,1,CLEAR,0,0.0,off,no_alert,,381,0.009810572000787943,7826491368805603054,33008,78,2.610303,14212.245545638,7.653986817998884
78,1,1,CLEAR,0,0.0,off,no_alert,,383,0.003919789000065066,7826491368805603054,33010,79,2.646473,14212.279545345,7.68798652499936
79,1,1,CLEAR,0,0.0,off,no_alert,,384,0.017744635999406455,7826491368805603054,33011,80,2.680556,14212.313445089,7.721886268998787
80,1,1,CLEAR,0,0.0,off,no_alert,,386,0.012326459000178147,7826491368805603054,33013,81,2.718781,14212.347425305,7.755866485000297
81,1,1,CLEAR,0,0.0,off,no_alert,,388,0.006406879001588095,7826491368805603054,33015,82,2.751414,14212.381481572,7.789922751999256
82,1,1,CLEAR,0,0.0,off,no_alert,,390,0.00045922100071038585,7826491368805603054,33017,83,2.794771,14212.41581819,7.824259369999709
83,1,1,CLEAR,0,0.0,off,no_alert,,391,0.01438018299995747,7826491368805603054,33018,84,2.835814,14212.449664786,7.85810596599913
84,1,1,CLEAR,0,0.0,off,no_alert,,393,0.00817285199991602,7826491368805603054,33020,85,2.870305,14212.483364243,7.891805422999823
85,1,1,CLEAR,0,0.0,off,no_alert,,395,0.0017573019995325012,7826491368805603054,33022,86,2.905906,14212.517201064,7.925642243999391
86,1,1,CLEAR,0,0.0,off,no_alert,,396,0.015841948999877786,7826491368805603054,33023,87,2.937095,14212.551127915,7.959569094999097
87,1,1,CLEAR,0,0.0,off,no_alert,,398,0.010007576000134577,7826491368805603054,33025,88,2.972032,14212.585188127,7.993629306998628
88,1,1,CLEAR,0,0.0,off,no_alert,,400,0.003639869999460643,7826491368805603054,33027,89,3.003244,14212.61918692,8.027628099998765
89,1,1,CLEAR,0,0.0,off,no_alert,,401,0.017978247999053565,7826491368805603054,33028,90,3.034922,14212.653180541,8.061621720999028
90,1,1,CLEAR,0,0.0,off,no_alert,,403,0.01141407400064054,7826491368805603054,33030,91,3.068244,14212.68708921,8.095530389999112
91,1,1,CLEAR,0,0.0,off,no_alert,,405,0.005935792998570832,7826491368805603054,33032,92,3.101282,14212.721168529,8.129609708999851
92,1,1,CLEAR,0,0.0,off,no_alert,,406,0.01982492299976002,7826491368805603054,33033,93,3.132699,14212.755116997,8.163558176998777
93,1,1,CLEAR,0,0.0,off,no_alert,,408,0.013979682998979115,7826491368805603054,33035,94,3.165211,14212.789112124,8.197553304000394
94,1,1,CLEAR,0,0.0,off,no_alert,,410,0.007675414999539498,7826491368805603054,33037,95,3.196506,14212.823111369,8.231552548999389
95,1,1,CLEAR,0,0.0,off,no_alert,,412,0.0014967540009820368,7826491368805603054,33039,96,3.228176,14212.857085103,8.265526282999417
96,1,1,CLEAR,0,0.0,off,no_alert,,413,0.015771991000292473,7826491368805603054,33040,97,3.260086,14212.891267711,8.299708890999682
97,1,1,CLEAR,0,0.0,off,no_alert,,415,0.009133452998867142,7826491368805603054,33042,98,3.292183,14212.925224705,8.3336658850003
98,1,1,CLEAR,0,0.0,off,no_alert,,417,0.0037475570006790804,7826491368805603054,33044,99,3.325217,14212.959192315,8.367633494999609
99,1,1,CLEAR,0,0.0,off,no_alert,,418,0.017857513999842922,7826491368805603054,33045,100,3.358395,14212.993047596,8.401488776000406
100,1,1,CLEAR,0,0.0,off,no_alert,,420,0.01148105799984478,7826491368805603054,33047,101,3.386868,14213.026885979,8.435327158998916
101,1,1,CLEAR,0,0.0,off,no_alert,,422,0.005685208001523279,7826491368805603054,33049,102,3.418931,14213.060946099,8.46938727899942
