receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
14211.294354301,6.7027954810000665,1790244526.1766627,1,49,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.328111943,6.736553122998885,1790244526.2102683,1,50,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.362256129,6.770697308998933,1790244526.2443345,1,51,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.396177919,6.8046190989989555,1790244526.2783697,1,52,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.431293654,6.839734833998591,1790244526.313377,1,53,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.466023126,6.874464305999936,1790244526.347975,1,54,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.499920691,6.908361870999215,1790244526.381772,1,55,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.535151533,6.943592712999816,1790244526.4163573,1,56,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.570078108,6.978519287999006,1790244526.4516034,1,57,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.602748718,7.011189897999429,1790244526.4843094,1,58,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.637372279,7.045813458998964,1790244526.5191317,1,59,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.670993491,7.079434670999035,1790244526.5529993,1,60,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.705865648,7.114306827999826,1790244526.5877936,1,61,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.73962789,7.14806906999911,1790244526.621611,1,62,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.773521228,7.18196240799989,1790244526.6553936,1,63,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.807248519,7.215689698999995,1790244526.6892986,1,64,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.841518183,7.249959363000016,1790244526.7235153,1,65,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.876015092,7.28445627200017,1790244526.7579339,1,66,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.910704475,7.3191456549993745,1790244526.7922688,1,67,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.943348855,7.351790034999794,1790244526.8255692,1,68,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14211.980185824,7.388627004000227,1790244526.859916,1,69,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.011213965,7.419655144998615,1790244526.8933241,1,70,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.045514154,7.453955334000057,1790244526.9275513,1,71,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.081199338,7.4896405179988506,1790244526.962839,1,72,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.113306698,7.521747877999587,1790244526.9953368,1,73,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.147783475,7.5562246549998235,1790244527.0298417,1,74,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.180999244,7.589440423998894,1790244527.0630527,1,75,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.216371664,7.624812844000189,1790244527.098009,1,76,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.25040777,7.658848949999083,1790244527.1320474,1,77,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.283805367,7.6922465469997405,1790244527.1649046,1,78,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.31655668,7.724997859999348,1790244527.198839,1,79,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.351954429,7.760395608998806,1790244527.2340248,1,80,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.386897461,7.795338640999034,1790244527.2668324,1,81,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.419250687,7.827691866999885,1790244527.301476,1,82,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.45268341,7.8611245899992355,1790244527.3350902,1,83,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.486420133,7.8948613129996374,1790244527.3686757,1,84,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.520553365,7.928994545000023,1790244527.4027703,1,85,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.555345249,7.963786428999811,1790244527.4366395,1,86,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.588546118,7.996987298000022,1790244527.4707513,1,87,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.623375052,8.031816231999983,1790244527.5053902,1,88,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.657299407,8.0657405869988,1790244527.5385332,1,89,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.691092989,8.099534168999526,1790244527.5728307,1,90,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.724408949,8.132850128999053,1790244527.6066678,1,91,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.758538461,8.166979640998761,1790244527.6406734,1,92,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.792334668,8.200775847999466,1790244527.6745024,1,93,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.826509132,8.234950312000365,1790244527.7085204,1,94,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.861020841,8.269462020998617,1790244527.742892,1,95,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.894773992,8.30321517199991,1790244527.776763,1,96,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.928930509,8.337371689000065,1790244527.8106043,1,97,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.963139765,8.371580944998641,1790244527.8444123,1,98,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14212.996017546,8.404458725999575,1790244527.8783383,1,99,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.030990028,8.439431208000315,1790244527.9125376,1,100,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.064426222,8.472867401998883,1790244527.9466367,1,101,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.098890457,8.50733163699988,1790244527.9806495,1,102,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.133341725,8.541782905000218,1790244528.0148177,1,103,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.170088912,8.57853009199971,1790244528.0491598,1,104,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.20081128,8.60925245999897,1790244528.0830061,1,105,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.236047433,8.64448861299934,1790244528.1173823,1,106,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.2695781,8.678019279999717,1790244528.151416,1,107,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.303087362,8.711528541998632,1790244528.1853786,1,108,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.33805713,8.746498309999879,1790244528.2202103,1,109,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.372150039,8.780591218999689,1790244528.2540946,1,110,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.405490586,8.81393176599886,1790244528.2876165,1,111,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.439371083,8.847812263000378,1790244528.3215039,1,112,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.47319797,8.881639149998591,1790244528.355414,1,113,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.508014623,8.916455802998826,1790244528.3900826,1,114,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.544956558,8.953397737999694,1790244528.4262443,1,115,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.575782027,8.98422320699865,1790244528.4570286,1,116,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.610224805,9.018665984998734,1790244528.4911573,1,117,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.643780946,9.052222125999833,1790244528.52586,1,118,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.67779721,9.08623839000029,1790244528.5597873,1,119,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.711450206,9.119891385998926,1790244528.5933506,1,120,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.745812645,9.154253824999614,1790244528.6277688,1,121,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.780309513,9.188750692999747,1790244528.662137,1,122,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.814120078,9.222561257998677,1790244528.695968,1,123,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14213.849495417,9.25793659699957,1790244528.7313306,1,124,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.882651156,9.291092335999565,1790244528.7645037,1,125,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.91681989,9.325261070000124,1790244528.798674,1,126,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.952937448,9.361378628000239,1790244528.8342874,1,127,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14213.984549983,9.39299116300026,1790244528.8666234,1,128,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.019662688,9.428103868000107,1790244528.9003155,1,129,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.052244543,9.460685722999187,1790244528.9343274,1,130,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.08611032,9.494551499999943,1790244528.9683015,1,131,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.12094227,9.529383449998932,1790244529.0028853,1,132,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.154758908,9.563200087999576,1790244529.0365512,1,133,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.190127991,9.598569170999326,1790244529.0711355,1,134,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.222296658,9.630737837998822,1790244529.1043413,1,135,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.258424253,9.666865432998748,1790244529.1386638,1,136,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.291254372,9.699695551998957,1790244529.1729763,1,137,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.329216721,9.737657900999693,1790244529.2109993,1,138,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.3597019,9.7681430800003,1790244529.2417688,1,139,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.394495062,9.802936242000214,1790244529.2759945,1,140,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.428467893,9.836909072999333,1790244529.3104866,1,141,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.462151941,9.87059312099882,1790244529.3443046,1,142,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.496299099,9.90474027900018,1790244529.378315,1,143,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.532957461,9.941398640999978,1790244529.412369,1,144,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.564764153,9.973205332998987,1790244529.4467762,1,145,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.599338804,10.00777998400008,1790244529.481487,1,146,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.633291642,10.041732821999176,1790244529.5149167,1,147,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.667412512,10.075853692000237,1790244529.5490782,1,148,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:path,0
14214.701711993,10.110153173000072,1790244529.583419,1,149,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.735886926,10.144328106000103,1790244529.6174278,1,150,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.770221302,10.178662481999709,1790244529.6521525,1,151,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.804364158,10.21280533800018,1790244529.6863725,1,152,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
14214.838870207,10.247311387000082,1790244529.7203178,1,153,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14214.872518104,10.280959284000346,1790244529.7544088,1,154,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.906824782,10.315265961999103,1790244529.7886963,1,155,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.941264815,10.349705994998658,1790244529.8225906,1,156,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14214.975269984,10.383711163998669,1790244529.856752,1,157,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
14215.009335169,10.417776348998814,1790244529.8910494,1,158,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.04319711,10.451638290000119,1790244529.9249213,1,159,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14215.077266356,10.485707535999609,1790244529.958876,1,160,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14215.112020119,10.52046129900009,1790244529.9928558,1,161,bird_eye,hardware,apply,1,1,0.25,0.05000000074505806,1,ttc_warning:cadence_triple,0
14215.14465761,10.55309879000015,1790244530.0268037,1,162,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
14215.179036707,10.587477887000205,1790244530.061109,1,163,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.2129392,10.621380380000119,1790244530.0945823,1,164,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.247765289,10.65620646899879,1790244530.12868,1,165,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.281770662,10.69021184200028,1790244530.1624298,1,166,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.315711764,10.724152943999798,1790244530.196748,1,167,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.356220204,10.764661383998828,1790244530.2359614,1,168,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.383381811,10.791822990999208,1790244530.2651424,1,169,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
14215.417441943,10.825883122999585,1790244530.2993472,1,170,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
