collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
62,1,1,CLEAR,0,0.0,off,no_alert,,63,2.087412,131139.945214943,3.1390418049995787
63,1,1,CLEAR,0,0.0,off,no_alert,,64,2.124662,131139.978879099,3.17270596101298
64,1,1,CLEAR,0,0.0,off,no_alert,,65,2.159232,131140.012534997,3.206361858989112
65,1,1,CLEAR,0,0.0,off,no_alert,,66,2.190304,131140.046191893,3.240018754993798
66,1,1,CLEAR,0,0.0,off,no_alert,,67,2.23368,131140.079896896,3.273723758000415
67,1,1,CLEAR,0,0.0,off,no_alert,,68,2.269485,131140.113566707,3.307393569004489
68,1,1,CLEAR,0,0.0,off,no_alert,,69,2.299488,131140.147239507,3.341066369001055
69,1,1,CLEAR,0,0.0,off,no_alert,,70,2.342162,131140.181438608,3.3752654700074345
70,1,1,CLEAR,0,0.0,off,no_alert,,71,2.378737,131140.215847111,3.4096739729866385
71,1,1,CLEAR,0,0.0,off,no_alert,,72,2.411018,131140.249722087,3.443548948998796
72,1,1,CLEAR,0,0.0,off,no_alert,,73,2.44424,131140.28351508,3.477341941994382
73,1,1,CLEAR,0,0.0,off,no_alert,,74,2.485472,131140.31735328,3.5111801419989206
74,1,1,CLEAR,0,0.0,off,no_alert,,75,2.515724,131140.351164992,3.54499185399618
75,1,1,CLEAR,0,0.0,off,no_alert,,76,2.548683,131140.385065053,3.5788919150072616
76,1,1,CLEAR,0,0.0,off,no_alert,,77,2.577497,131140.418923236,3.61275009799283
77,1,1,CLEAR,0,0.0,off,no_alert,,78,2.610303,131140.452774809,3.6466016710037366
78,1,1,CLEAR,0,0.0,off,no_alert,,79,2.646473,131140.486593772,3.6804206339875236
79,1,1,CLEAR,0,0.0,off,no_alert,,80,2.680556,131140.520487704,3.7143145659938455
80,1,1,CLEAR,0,0.0,off,no_alert,,81,2.718781,131140.554381045,3.7482079069886822
81,1,1,CLEAR,0,0.0,off,no_alert,,82,2.751414,131140.588073456,3.781900317990221
82,1,1,CLEAR,0,0.0,off,no_alert,,83,2.794771,131140.621743435,3.8155702970107086
83,1,1,CLEAR,0,0.0,off,no_alert,,84,2.835814,131140.655425948,3.849252810003236
84,1,1,CLEAR,0,0.0,off,no_alert,,85,2.870305,131140.6890678,3.8828946620051283
85,1,1,CLEAR,0,0.0,off,no_alert,,86,2.905906,131140.722787075,3.916613937006332
86,1,1,CLEAR,0,0.0,off,no_alert,,87,2.937095,131140.756461095,3.950287957006367
87,1,1,CLEAR,0,0.0,off,no_alert,,88,2.972032,131140.790135737,3.9839625990134664
88,1,1,CLEAR,0,0.0,off,no_alert,,89,3.003244,131140.823785613,4.017612474999623
89,1,1,CLEAR,0,0.0,off,no_alert,,90,3.034922,131140.85746628,4.0512931419943925
90,1,1,CLEAR,0,0.0,off,no_alert,,91,3.068244,131140.891142821,4.084969682997325
91,1,1,CLEAR,0,0.0,off,no_alert,,92,3.101282,131140.924844417,4.1186712789931335
92,1,1,CLEAR,0,0.0,off,no_alert,,93,3.132699,131140.95850949,4.152336352010025
93,1,1,CLEAR,0,0.0,off,no_alert,,94,3.165211,131140.992174743,4.1860016050050035
94,1,1,CLEAR,0,0.0,off,no_alert,,95,3.196506,131141.025843444,4.219670305988984
95,1,1,CLEAR,0,0.0,off,no_alert,,96,3.228176,131141.059517733,4.253344594995724
96,1,1,CLEAR,0,0.0,off,no_alert,,97,3.260086,131141.093171502,4.286998363997554
97,1,1,CLEAR,0,0.0,off,no_alert,,98,3.292183,131141.126836857,4.320663719001459
98,1,1,CLEAR,0,0.0,off,no_alert,,99,3.325217,131141.16050797,4.354334831994493
99,1,1,CLEAR,0,0.0,off,no_alert,,100,3.358395,131141.194161454,4.387988316011615
100,1,1,CLEAR,0,0.0,off,no_alert,,101,3.386868,131141.227815375,4.421642236993648
101,1,1,CLEAR,0,0.0,off,no_alert,,102,3.418931,131141.261669105,4.455495967005845
102,1,1,CLEAR,0,0.0,off,no_alert,,103,3.451945,131141.29541777,4.489244631986367
103,1,1,CLEAR,0,0.0,off,no_alert,,104,3.483942,131141.329135508,4.52296236998518
104,1,1,CLEAR,0,0.0,off,no_alert,,105,3.515539,131141.362801359,4.556628221005667
105,1,1,CLEAR,0,0.0,off,no_alert,,106,3.547137,131141.396518209,4.5903450709884055
106,1,1,CLEAR,0,0.0,off,no_alert,,107,3.579565,131141.430181873,4.624008735001553
107,1,1,CLEAR,0,0.0,off,no_alert,,108,3.61154,131141.463864709,4.657691570988391
108,1,1,CLEAR,0,0.0,off,no_alert,,109,3.644396,131141.4976689,4.691495762002887
109,1,1,CLEAR,0,0.0,off,no_alert,,110,3.675136,131141.531608717,4.725435578991892
110,1,1,CLEAR,0,0.0,off,no_alert,,111,3.707818,131141.565945301,4.759772163000889
111,1,1,CLEAR,0,0.0,off,no_alert,,112,3.739811,131141.599925032,4.793751894001616
112,1,1,CLEAR,0,0.0,off,no_alert,,113,3.772374,131141.633701071,4.827527932997327
113,1,1,CLEAR,0,0.0,off,no_alert,,114,3.803742,131141.667432312,4.861259174009319
114,1,1,CLEAR,0,0.0,off,no_alert,,115,3.837338,131141.701197644,4.895024505996844
115,1,1,CLEAR,0,0.0,off,no_alert,,116,3.866533,131141.734983061,4.928809923003428
116,1,1,PATH,0,0.0,off,no_alert,,117,3.900267,131141.768828542,4.962655404000543
117,1,1,PATH,0,0.0,off,no_alert,,118,3.931367,131141.802614744,4.996441605995642
118,1,1,CLEAR,0,0.0,off,no_alert,,119,3.96591,131141.836422945,5.030249806994107
119,1,1,CLEAR,0,0.0,off,no_alert,,120,3.995925,131141.870264256,5.064091117994394
120,1,1,PATH,0,0.0,off,no_alert,,121,4.029018,131141.904098633,5.097925495007075
121,1,1,PATH,0,0.0,off,no_alert,,122,4.059481,131141.937830434,5.131657296005869
122,1,1,CLEAR,0,0.0,off,no_alert,,123,4.089619,131141.971659338,5.165486200014129
123,1,1,CLEAR,0,0.0,off,no_alert,,124,4.12277,131142.005562002,5.199388864013599
124,1,1,PATH,0,0.0,off,no_alert,,125,4.154366,131142.039429528,5.233256389998132
125,1,1,PATH,0,0.0,off,no_alert,,126,4.188115,131142.073320991,5.267147853010101
126,1,1,PATH,0,0.0,off,no_alert,,127,4.22127,131142.107151834,5.300978696002858
127,1,1,PATH,0,0.0,off,no_alert,,128,4.252579,131142.140883879,5.334710741008166
