session,experiment_label,expected_motion,nominal_speed_mps,frames,motion_frames,accuracy_interval_frames,detection_rate,track_rate,motion_track_rate,odom_available_rate,odom_speed_p90_mps,nominal_speed_error_mps,nominal_speed_error_limit_mps,abs_odom_angular_p95_radps,median_abs_odom_speed_mps,speed_mae_limit_mps,direction_correct_rate,direction_response_delay_sec,steady_direction_correct_rate,relative_speed_mae_mps,ttc_expected_frames,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,unknown_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,warning_feasibility_margin_sec,maximum_warning_entry_delay_sec,path_while_forward_after_warning_frames,critical_frames,final_state,decision,reasons
approach_center_v0p10_r01_20260818_172025_635,approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,140,140,1.0,1.0,1.0,1.0,0.08316,0.016840000000000008,0.025,0.048572,0.070366,0.03,1.0,0.0,1.0,0.0090021892854435,127,1.0,0.03996300000000019,0.0,0,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
approach_center_v0p10_r02_20260818_172100_667,approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,140,101,1.0,0.9558011049723757,0.8857142857142857,1.0,0.081027,0.018973000000000004,0.025,0.032381,0.068234,0.03,0.9801980198019802,0.11407800000000012,0.9801980198019802,0.01173012901763161,90,1.0,0.2009730000000003,0.0,0,0,0,49,,,0.4375,nan,0,0,CLEAR,FAIL,motion_track_rate=0.8857142857142857 < 0.95
approach_center_v0p10_r03_20260818_172131_591,approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,142,142,1.0,1.0,1.0,1.0,0.08316,0.016840000000000008,0.025,0.032381,0.072498,0.03,1.0,0.0,1.0,0.007261981662408664,133,1.0,0.12005400000000055,0.0,0,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
retreat_center_v0p10_r01_20260818_172222_468,retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,144,144,1.0,1.0,1.0,1.0,0.081027,0.018973000000000004,0.025,0.032381,0.0693,0.03,0.9930555555555556,0.038600999999999885,1.0,0.009928446248881442,0,nan,nan,0.0,0,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
retreat_center_v0p10_r02_20260818_172256_256,retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,312,138,137,1.0,1.0,1.0,1.0,0.078895,0.021105,0.025,0.032381,0.070366,0.03,1.0,0.0,1.0,0.010353839992481843,0,nan,nan,0.0,0,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
retreat_center_v0p10_r03_20260818_172320_984,retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,311,132,128,1.0,1.0,1.0,1.0,0.078895,0.021105,0.025,0.032381,0.0693,0.03,1.0,0.0,1.0,0.010889243610733818,0,nan,nan,0.0,0,0,0,0,,,0.4375,nan,0,0,CLEAR,PASS,
