session,expected_x_m,expected_z_m,estimated_x_m,estimated_z_m,error_x_m,error_z_m,position_error_m,std_x_m,std_z_m,detected_samples,total_samples,detection_rate
x-0.5m_z1m,-0.5,1.0,-0.41600000000000004,1.01,0.08399999999999996,0.010000000000000009,0.08459314393022636,0.020755132141330287,0.012532406971120761,28,28,1.0
x0.5m_z1m,0.5,1.0,0.6880000000000001,1.048,0.18800000000000006,0.04800000000000004,0.1940309253701585,0.012710627347319455,0.024145417558216777,29,29,1.0
x0m_z0.5m,0.0,0.5,0.136,0.768,0.136,0.268,0.30053286010018937,0.11643479387403834,0.00539652193357832,28,28,1.0
x0m_z1.5m,0.0,1.5,0.07200000000000001,1.512,0.07200000000000001,0.01200000000000001,0.07299315036357865,0.04875935228442022,0.0063568102740981635,29,29,1.0
x0m_z1m,0.0,1.0,0.068,1.048,0.068,0.04800000000000004,0.08323460818673928,0.038027648373470675,0.010486142459144336,28,28,1.0
x0m_z2m,0.0,2.0,0.108,2.016,0.108,0.016000000000000014,0.10917875251164945,0.028796881849961087,0.014037828966501447,29,29,1.0
