session,expected_x_m,expected_z_m,estimated_x_m,estimated_z_m,error_x_m,error_z_m,position_error_m,std_x_m,std_z_m,detected_samples,total_samples,detection_rate
x-0.5m_z0.7m,-0.5,0.7,-0.37,0.68,0.13,-0.019999999999999907,0.13152946437965904,0.016706347321192836,0.03209774612215708,28,28,1.0
x-0.5m_z1.0m,-0.5,1.0,-0.388,0.912,0.11199999999999999,-0.08799999999999997,0.1424359505181188,0.016487764095941024,0.006246864782906083,27,27,1.0
x-0.5m_z1.3m,-0.5,1.3,-0.386,1.096,0.11399999999999999,-0.20399999999999996,0.23369210512980532,0.012164686261335923,0.003711537444790455,28,28,1.0
x0.0m_z0.7m,0.0,0.7,0.088,0.808,0.088,0.1080000000000001,0.13931259813814406,0.053051295483122506,0.005760169108364446,29,29,1.0
x0.5m_z0.7m,0.5,0.7,0.432,0.6980000000000001,-0.068,-0.0019999999999998908,0.06802940540677979,0.04875260327952356,0.12048338017319725,28,28,1.0
x0.5m_z1.0m,0.5,1.0,0.41600000000000004,0.9440000000000001,-0.08399999999999996,-0.05599999999999994,0.10095543571299163,0.014599181301516734,0.015415353907538886,26,26,1.0
x0.5m_z1.3m,0.5,1.3,0.484,1.1360000000000001,-0.016000000000000014,-0.16399999999999992,0.16477863939236778,0.01842286406721163,0.003325917677132395,27,27,1.0
x0m_z1.0m,0.0,1.0,0.036000000000000004,0.928,0.036000000000000004,-0.07199999999999995,0.08049844718999238,0.053311106479551465,0.0057872666621110016,27,27,1.0
x0m_z1.3m,0.0,1.3,-0.032,1.184,-0.032,-0.1160000000000001,0.12033287165193068,0.054863213743110435,0.009678154093971967,24,24,1.0
