session,session_path,frame,time_sec,occlusion_event,phase_label,detected,source_pixel_x,source_pixel_y,raw_x_m,raw_z_m,raw_distance_m,x_m,z_m,distance_m,area_px,contact_samples,bbox_width_px,bbox_height_px,bbox_aspect_ratio,bbox_fill_ratio,contour_solidity,measurement_available,measurement_accepted,rejection_reason,predicted_x_m,predicted_z_m,innovation_x_m,innovation_z_m,innovation_cov_xx,innovation_cov_xz,innovation_cov_zz,nis,track_available,track_predicted,filtered_x_m,filtered_z_m,filtered_distance_m,relative_vx_mps,relative_vz_mps,missing_age_sec
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,0,0.0,,,1,312.0,455.0,-0.061795470461414266,0.7730922894864315,0.7755581011329324,-0.014956683784258233,0.7730922894864315,0.7732369562127736,5347.0,29,104,86,1.2093023255813953,0.5978309481216458,0.8053923783702365,True,True,initialized,,,,,,,,,1,0,-0.014956683851778507,0.7730922698974609,0.773236936628774,0.0,0.0,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,1,0.03333333333333333,,,1,309.0,455.0,-0.07724936662123365,0.7729792603785131,0.7768297121111517,-0.024347842499106064,0.7729792603785131,0.7733626280146166,5313.0,27,91,86,1.058139534883721,0.6788908765652951,0.8744239631336406,True,True,accepted,-0.014956683851778507,0.7730922698974609,-0.009391157887876034,-0.00011301040649414062,0.0020784721709787846,0.0,0.0020784721709787846,0.04243819788098335,1,0,-0.020281372591853142,0.7730281949043274,0.7732942028692911,-0.03784075379371643,-0.00045536438119597733,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,2,0.06666666666666667,,,1,309.5,455.0,-0.07467217923224091,0.77325041520991,0.7768475648243934,-0.02278171473704286,0.77325041520991,0.7735859429621625,5216.0,30,95,86,1.1046511627906976,0.6384332925336598,0.8057465049818491,True,True,accepted,-0.021542731672525406,0.7730129957199097,-0.0012389831244945526,0.00023740530014038086,0.001895808964036405,0.0,0.001895808964036405,0.0008394519099965692,1,0,-0.022193530574440956,0.7731376886367798,0.7734561644915509,-0.04500347748398781,0.0009171068086288869,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,3,0.1,,,1,308.0,455.0,-0.08240680826305274,0.7732161666435192,0.7775950889807638,-0.027481961721857115,0.7732161666435192,0.7737043999997545,5294.0,27,89,86,1.0348837209302326,0.6916644891559969,0.8780164192719131,True,True,accepted,-0.023693647235631943,0.7731682658195496,-0.0037883147597312927,4.792213439941406e-05,0.0018957407446578145,0.0,0.0018957407446578145,0.007571512367576361,1,0,-0.025683466345071793,0.7731934189796448,0.7736198702185273,-0.06600149720907211,0.0011827314738184214,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,4,0.13333333333333333,,,1,307.5,455.0,-0.08498705905236492,0.7732121799376355,0.7778688034689915,-0.029049951077806384,0.7732121799376355,0.7737576977720696,5276.0,26,86,86,1.0,0.7133585722011898,0.8949957591178965,True,True,accepted,-0.027883516624569893,0.7732328176498413,-0.001166434958577156,-2.0623207092285156e-05,0.0018194911535829306,0.0,0.0018194911535829306,0.0007480090716853738,1,0,-0.028472982347011566,0.7732223868370056,0.7737464508672394,-0.07140912860631943,0.0010871215490624309,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,5,0.16666666666666666,,,1,308.0,455.0,-0.08240680826305274,0.7732161666435192,0.7775950889807638,-0.027481961721857115,0.7732161666435192,0.7737043999997545,5358.0,27,96,86,1.1162790697674418,0.6489825581395349,0.8581724993993753,True,True,accepted,-0.030853286385536194,0.773258626461029,0.0033713243901729584,-4.2438507080078125e-05,0.0017065037973225117,0.0,0.0017065037973225117,0.006661355495452881,1,0,-0.029259977862238884,0.7732385993003845,0.7737920119466983,-0.05876763164997101,0.0009279893129132688,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,6,0.2,,,1,309.5,455.0,-0.07467217923224091,0.7732440932409128,0.7768412721291611,-0.02278171473704286,0.7732440932409128,0.773579623735218,5284.5,28,96,86,1.1162790697674418,0.6400799418604651,0.8447090792838875,True,True,accepted,-0.03121889941394329,0.773269534111023,0.008437184616923332,-2.5451183319091797e-05,0.0015999670140445232,0.0,0.0015999670140445232,0.044492628425359726,1,0,-0.02752772904932499,0.77325838804245,0.7737482216746099,-0.03300867974758148,0.0008502861601300538,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,7,0.23333333333333334,,,1,309.0,455.0,-0.07724936662123365,0.7729792603785131,0.7768297121111517,-0.024347842499106064,0.7729792603785131,0.7733626280146166,5283.5,27,94,86,1.0930232558139534,0.6535749628896586,0.8530029060381014,True,True,accepted,-0.028628017753362656,0.773286759853363,0.004280176013708115,-0.00030750036239624023,0.0015127676306292415,0.0,0.0015127676306292415,0.0121726980432868,1,0,-0.02689427323639393,0.7731621861457825,0.7736298003687806,-0.02213273011147976,6.892615783726797e-05,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,8,0.26666666666666666,,,1,307.5,455.0,-0.08498705905236492,0.7732121799376355,0.7778688034689915,-0.029049951077806384,0.7732121799376355,0.7737576977720696,5267.0,26,86,86,1.0,0.7121416982152515,0.894075708708199,True,True,accepted,-0.027632031589746475,0.7731645107269287,-0.0014179199934005737,4.76837158203125e-05,0.0014447893481701612,0.0,0.0014447893481701612,0.001393123995512724,1,0,-0.028166688978672028,0.7731825113296509,0.7736953910900898,-0.02521519921720028,0.0001725875335978344,0.0
x0.0m_z0.8m_20260818_162139_642,distance_comparison_old::x0.0m_z0.8m_20260818_162139_642,9,0.3,,,1,308.0,455.0,-0.08240680826305274,0.7732161666435192,0.7775950889807638,-0.027481961721857115,0.7732161666435192,0.7737043999997545,5315.5,27,94,86,1.0930232558139534,0.6575333993072736,0.8610886116960959,True,True,accepted,-0.0290071964263916,0.7731882929801941,0.001525234431028366,2.7894973754882812e-05,0.001392763340845704,0.0,0.001392763340845704,0.0016708640614524484,1,0,-0.028467563912272453,0.7731981873512268,0.7737220683929871,-0.022295352071523666,0.00022598855139221996,0.0
