session,expected_x_m,expected_z_m,raw_estimated_x_m,raw_estimated_z_m,raw_position_error_m,estimated_x_m,estimated_z_m,error_x_m,error_z_m,position_error_m,std_x_m,std_z_m,detected_samples,total_samples,detection_rate
x-0.5m_z0.7m,-0.5,0.7,-0.37,0.68,0.13152946437965904,-0.43228654,0.6476259600000001,0.06771346,-0.0523740399999999,0.08560463031339596,0.019518727241937078,0.0445876852887031,28,28,1.0
x-0.5m_z1.0m,-0.5,1.0,-0.388,0.912,0.1424359505181188,-0.453316696,0.9699022639999999,0.04668330399999998,-0.030097736000000097,0.05554461796323849,0.019263347279379936,0.008677657300960068,27,27,1.0
x-0.5m_z1.3m,-0.5,1.3,-0.386,1.096,0.23369210512980532,-0.45098001200000004,1.225500712,0.04901998799999996,-0.07449928799999994,0.08918017232561885,0.014212513875941744,0.005155778318382243,28,28,1.0
x0.0m_z0.7m,0.0,0.7,0.088,0.808,0.13931259813814406,0.102814096,0.825433576,0.102814096,0.12543357600000005,0.16218606698617796,0.06198205666734231,0.008001577632149436,29,29,1.0
x0.5m_z0.7m,0.5,0.7,0.432,0.6980000000000001,0.06802940540677979,0.504723744,0.6726301560000001,0.004723743999999974,-0.027369843999999866,0.027774486817254865,0.056959714020805116,0.1673661140329521,28,28,1.0
x0.5m_z1.0m,0.5,1.0,0.41600000000000004,0.9440000000000001,0.10095543571299163,0.48603027200000004,1.0143541680000001,-0.013969727999999959,0.014354168000000112,0.02002986368815849,0.017056836680176667,0.021413807250748224,26,26,1.0
x0.5m_z1.3m,0.5,1.3,0.484,1.1360000000000001,0.16477863939236778,0.565477528,1.281065592,0.06547752799999995,-0.018934408000000014,0.0681602411916305,0.02152420585001417,0.004620105415493522,27,27,1.0
x0m_z1.0m,0.0,1.0,0.036000000000000004,0.928,0.08049844718999238,0.042060312,0.992128216,0.042060312,-0.007871783999999993,0.04279059276149374,0.06228560476653212,0.008039219440204973,27,27,1.0
x0m_z1.3m,0.0,1.3,-0.032,1.184,0.12033287165193068,-0.037386944,1.347743448,-0.037386944,0.047743447999999855,0.060640089120876345,0.06409899687105312,0.01344413677132654,24,24,1.0
