normalized_area_threshold,live_sessions,live_min_area_acceptance_rate,occlusion_sessions,stable_inlier_min_acceptance_rate,outlier_min_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
1800.0,12,1.0,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,PASS
2000.0,12,1.0,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,PASS
2100.0,12,0.8865784499054821,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,FAIL
2200.0,12,0.14744801512287334,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,FAIL
2300.0,12,0.0,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,FAIL
2503.678448310634,12,0.0,3,0.9827586206896551,1.0,0.21154701709747314,6,6,6,FAIL
