model,dataset,parameters,mean_position_error_cm,max_position_error_cm,mean_abs_x_error_cm,max_abs_x_error_cm,mean_abs_z_error_cm,max_abs_z_error_cm,mean_range_error_cm,max_range_error_cm
source_compatible,calibration,x=0.762922981*raw_x; z=1.195265719*raw_z-0.233648328,4.109249300358977,5.647371913507267,1.3223998339215273,2.653103591446959,3.6654815369261518,5.643400698602862,3.7703185600914533,5.375940900966203
source_compatible,holdout,x=0.762922981*raw_x; z=1.195265719*raw_z-0.233648328,5.8213685692965145,8.861306799123335,4.988582105044635,6.361843471040069,2.536879366267425,6.168444361277348,2.3991349805128683,5.065903345607459
full_affine,calibration,x=0.765663260*raw_x-0.022286670*raw_z+0.013415026; z=-0.095818095*raw_x+1.238450202*raw_z-0.278146307,1.6328788891871193,2.6554871733013115,1.0747883720396996,1.9322890140926474,1.0780004594867203,1.8215024824536075,1.141779212133942,2.3757618944886483
full_affine,holdout,x=0.765663260*raw_x-0.022286670*raw_z+0.013415026; z=-0.095818095*raw_x+1.238450202*raw_z-0.278146307,5.841274123012777,8.195338197164153,5.02694741842805,7.5619743193874935,2.4194095478757225,4.195325997566412,2.394721414774229,3.644018215851774
