experiment_label,session_dir,frames,requested_fps,effective_fps,fps_within_one_percent,dt_median_ms,dt_p90_ms,dt_p95_ms,dt_p99_ms,dt_max_ms,dt_over_40ms_rate,dt_over_50ms_rate,first_half_fps,last_half_fps,raw_kib_per_frame,bev_kib_per_frame,detection_kib_per_frame
hokonasi,/tmp/theta-diagnose-0826-g56NHL/hokonasi_20260826_135211_488,818,30.0,30.00713376449336,1,32.40899999999991,36.60199999999918,37.69320000000106,39.872039999999984,60.834999999999084,0.009791921664626682,0.0012239902080783353,30.026551419659768,29.98778859122281,61.66865879049511,26.435936067389974,26.16390968826406
x-0.3mz0.9m,/tmp/theta-diagnose-0826-g56NHL/x-0.3mz0.9m_20260826_140020_944,639,30.0,29.303138301810566,0,34.76950000000034,38.68119999999955,40.178150000001175,45.263280000000044,48.76799999999992,0.05329153605015674,0.0,29.522327810560313,29.087179565736616,65.5582575312989,32.08599251760563,24.940269219483568
x-0.3mz1.2m,/tmp/theta-diagnose-0826-g56NHL/x-0.3mz1.2m_20260826_140621_686,652,30.0,29.903449066571415,1,33.47800000000056,37.39500000000007,39.5175000000001,44.779999999999596,55.777000000000854,0.041474654377880185,0.0030721966205837174,29.55377527654832,30.260385043906794,65.02232613592791,32.5351892014954,25.148719085506134
x0.0mz1.2m_shahei,/tmp/theta-diagnose-0826-g56NHL/x0.0mz1.2m_shahei_20260826_140829_186,994,30.0,29.05906059460866,0,34.03400000000012,41.71319999999562,43.80520000000016,48.26892000000087,74.70699999999985,0.1581067472306143,0.004028197381671702,28.332383874783655,29.82241501916825,65.09127420774648,31.6046120472837,24.90490992831992
x0.3mz0.9m,/tmp/theta-diagnose-0826-g56NHL/x0.3mz0.9m_20260826_140106_996,729,30.0,29.20428590546605,0,34.094500000000025,40.20410000000113,42.25660000000046,46.679049999999705,52.15499999999906,0.10851648351648352,0.0027472527472527475,28.99165741163757,29.42005633132544,64.75866180126886,32.32934670781893,23.773922432270233
x0.3mz1.2m,/tmp/theta-diagnose-0826-g56NHL/x0.3mz1.2m_20260826_140458_795,659,30.0,29.7358807553221,1,33.40149999999964,38.52840000000164,40.120000000000026,45.46725000000006,49.54700000000045,0.05623100303951368,0.0,29.95836697579027,29.516674768051864,65.214624430956,31.836696225341427,25.032236935698027
