rule_id,experiment_label_glob,matched_trials,matched_labels,result,reasons
v0p10_approach_accuracy,approach_center_v0p10*,3,approach_center_v0p10_r01;approach_center_v0p10_r02;approach_center_v0p10_r03,PASS,
v0p10_retreat_safety,retreat_center_v0p10*,3,retreat_center_v0p10_r01;retreat_center_v0p10_r02;retreat_center_v0p10_r03,PASS,
v0p20_warning_presence,approach_center_v0p20*,3,approach_center_v0p20_r01;approach_center_v0p20_r02;approach_center_v0p20_r03,PASS,
v0p20_full_interval_accuracy,approach_center_v0p20*,3,approach_center_v0p20_r01;approach_center_v0p20_r02;approach_center_v0p20_r03,FAIL,approach_center_v0p20_r01: direction_correct_rate=0.878788 < min_direction_correct_rate=0.950000; approach_center_v0p20_r01: relative_speed_mae_mps=0.037919 > max_relative_speed_mae_mps=0.032000; approach_center_v0p20_r02: direction_correct_rate=0.861111 < min_direction_correct_rate=0.950000; approach_center_v0p20_r02: relative_speed_mae_mps=0.052524 > max_relative_speed_mae_mps=0.032000; approach_center_v0p20_r03: direction_correct_rate=0.892857 < min_direction_correct_rate=0.950000; approach_center_v0p20_r03: relative_speed_mae_mps=0.042739 > max_relative_speed_mae_mps=0.032000
