experiment_label,session_dir,frames,duration_sec,effective_fps,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,moving_frames,direction_correct_rate,relative_speed_mae_mps,ttc_active_rate,ttc_active_rate_while_approaching,minimum_ttc_sec,ttc_vs_odom_mae_sec,path_corridor_rate,warning_or_critical_rate,warning_hold_rate,unknown_rate,critical_rate,warning_or_critical_frames,critical_frames
x-0.4mz1.0m_4,/tmp/ricoh_08251420_analysis/x-0.4mz1.0m_4_20260825_141800_161,345,13.756153,25.006991416859062,1.0,0.0,0.0,0.0,0,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0
x0.0mz0.8m_4,/tmp/ricoh_08251420_analysis/x0.0mz0.8m_4_20260825_141625_493,382,15.238874000000001,25.00184724934401,1.0,0.9685863874345549,1.0,0.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
x0.0mz0.8m_4_kyuubasyo,/tmp/ricoh_08251420_analysis/x0.0mz0.8m_4_kyuubasyo_20260825_141945_844,313,12.477872,25.00426354750233,1.0,1.0,1.0,0.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
x0.4mz1.0m_4,/tmp/ricoh_08251420_analysis/x0.4mz1.0m_4_20260825_141730_883,328,13.079122,25.00167824720956,1.0,0.0,0.0,0.0,0,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0
