session,frames,duration_sec,detection_rate,measurement_acceptance_rate,track_rate,ttc_active_rate,warning_or_critical_rate,critical_rate,odom_available_rate,max_abs_odom_linear_mps,max_abs_odom_angular_radps,result
static_none_r01_20260818_164442_953,814,32.574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS
static_center_z1p00_r01_20260818_164807_727,834,33.315,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS
static_center_z1p00_r02_20260818_164908_140,815,32.553,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS
static_center_z1p00_r03_20260818_164956_525,878,35.092,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS
static_left_xm0p40_z1p00_r01_20260818_165339_551,529,21.086,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS_WITH_DIAGNOSTIC
static_right_xp0p40_z1p00_r01_20260818_165227_107,559,22.300,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,PASS
