process_accel_std_mps2,ttc_deadband_mps,experiment_label,source,motion,nominal_speed_mps,frames,track_frames,motion_frames,stable_response_delay_sec,steady_speed_mae_mps,ttc_active_rate,false_ttc_rate
0.75,0.05,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,233,132,0.4701719999999998,0.020960188975806822,0.8636363636363636,nan
0.75,0.05,approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,243,124,0.41800000000000015,0.024196475679077546,0.8951612903225806,nan
0.75,0.05,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,574,274,2.600746,0.006523485277056694,0.0,0.0
0.75,0.05,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,687,302,2.199535,0.007309645548608527,0.0,0.0
0.75,0.05,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,641,278,1.8036509999999994,0.006111202977520016,0.0,0.0
0.75,0.05,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,393,140,0.0866819999999997,0.006816447696978633,0.9428571428571428,nan
0.75,0.05,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,346,140,0.4771650000000003,0.009396587652408871,0.8142857142857143,nan
0.75,0.05,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,338,142,0.4784960000000007,0.00542873181991805,0.9577464788732394,nan
0.75,0.05,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,338,144,0.5591790000000003,0.007463959093234171,0.0,0.0
0.75,0.05,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,312,312,138,0.755922,0.006873367547010017,0.0,0.0
0.75,0.05,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,311,311,132,0.7586590000000002,0.008319017014854432,0.0,0.0
0.75,0.05,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r01_20260818_173859_761,approach,0.2,362,362,126,0.5172340000000002,0.02809442024752523,0.8492063492063492,nan
0.75,0.05,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r02_20260818_173929_852,approach,0.2,369,369,140,0.19811999999999985,0.04873257881637828,0.8142857142857143,nan
0.75,0.05,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r03_20260818_173959_164,approach,0.2,346,346,138,0.23942300000000039,0.036250552139827134,0.8405797101449275,nan
0.75,0.05,hakonasi2,/home/robo25/Downloads/recoding/202608261630.tar.xz::hakonasi2_20260826_161833_613,static,,623,0,0,nan,nan,nan,0.0
0.75,0.05,timing_hakonasi_other_floor,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_hakonasi_other_floor_20260826_162320_203,static,,675,0,0,nan,nan,nan,0.0
0.75,0.05,timing_x0.0mz1.2m,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_20260826_162000_354,static,,646,646,0,nan,nan,nan,0.0
0.75,0.05,timing_x0.0mz1.2m_shahei,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_shahei_20260826_162058_939,static,,835,578,0,nan,nan,nan,0.0
0.75,0.07,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,606,282,3.8155590000000004,0.01653220224568022,0.4787234042553192,nan
0.75,0.07,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,536,282,2.131469,0.01543487036859147,0.5390070921985816,nan
0.75,0.07,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,430,276,3.6241079999999997,0.017349027544307064,0.4673913043478261,nan
0.75,0.07,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,261,124,0.8421980000000007,0.018541889195671537,0.8467741935483871,nan
0.75,0.07,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,249,122,0.6973530000000001,0.016405001193557468,0.860655737704918,nan
0.75,0.07,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,233,132,0.6986629999999998,0.016894114020851173,0.8106060606060606,nan
0.75,0.07,approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,243,124,0.5839639999999999,0.02148871810219423,0.8548387096774194,nan
0.75,0.07,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,574,274,3.3339399999999992,0.006207104579626859,0.0,0.0
0.75,0.07,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,687,302,3.0414329999999996,0.006904882022564495,0.0,0.0
0.75,0.07,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,641,278,2.635974,0.005740430258665853,0.0,0.0
0.75,0.07,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,393,140,1.197012,0.0068636086730252625,0.5428571428571428,nan
0.75,0.07,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,346,140,0.5146350000000002,0.009376217828936162,0.5142857142857142,nan
0.75,0.07,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,338,142,1.4376040000000003,0.005464517163945096,0.7112676056338029,nan
0.75,0.07,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,338,144,2.1249139999999995,0.009233854108201277,0.0,0.0
0.75,0.07,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,312,312,138,2.674786,0.008810305351403553,0.0,0.0
0.75,0.07,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,311,311,132,2.4810760000000003,0.010206526112562272,0.0,0.0
0.75,0.07,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r01_20260818_173859_761,approach,0.2,362,362,126,0.6745780000000003,0.026419839195779993,0.8095238095238095,nan
0.75,0.07,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r02_20260818_173929_852,approach,0.2,369,369,140,0.39397999999999955,0.047668008399708174,0.7714285714285715,nan
0.75,0.07,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r03_20260818_173959_164,approach,0.2,346,346,138,0.33431999999999995,0.03581575704514373,0.8188405797101449,nan
0.75,0.07,hakonasi2,/home/robo25/Downloads/recoding/202608261630.tar.xz::hakonasi2_20260826_161833_613,static,,623,0,0,nan,nan,nan,0.0
0.75,0.07,timing_hakonasi_other_floor,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_hakonasi_other_floor_20260826_162320_203,static,,675,0,0,nan,nan,nan,0.0
0.75,0.07,timing_x0.0mz1.2m,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_20260826_162000_354,static,,646,646,0,nan,nan,nan,0.0
0.75,0.07,timing_x0.0mz1.2m_shahei,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_shahei_20260826_162058_939,static,,835,578,0,nan,nan,nan,0.0
1.5,0.03,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,606,282,0.44818599999999975,0.01322832235048468,0.875886524822695,nan
1.5,0.03,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,536,282,0.3335460000000001,0.015204730827365487,0.8865248226950354,nan
1.5,0.03,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,430,276,0.5272509999999997,0.01732048758234009,0.8840579710144928,nan
1.5,0.03,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,261,124,0.47369200000000067,0.0231970483471669,0.9354838709677419,nan
1.5,0.03,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,249,122,0.19730800000000004,0.02320666430732459,0.9836065573770492,nan
1.5,0.03,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,233,132,0.19566899999999965,0.022861906737332502,0.9166666666666666,nan
1.5,0.03,approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,243,124,0.15496199999999982,0.026412432091202056,0.9596774193548387,nan
1.5,0.03,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,574,274,2.0368649999999997,0.008762626050949098,0.0,0.0
1.5,0.03,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,687,302,1.996804,0.00815202952460713,0.0,0.0
1.5,0.03,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,641,278,1.601045,0.007267958668112755,0.0,0.0
1.5,0.03,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,393,140,0.0,0.009001293925224885,1.0,nan
1.5,0.03,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,346,140,0.0,0.012444364664237345,0.8642857142857143,nan
1.5,0.03,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,338,142,0.4784960000000007,0.006869770678443066,0.9859154929577465,nan
1.5,0.03,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,338,144,0.11886200000000002,0.009223582920569899,0.0,0.0
1.5,0.03,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,312,312,138,0.4423009999999996,0.00835886153284102,0.0,0.0
1.5,0.03,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,311,311,132,0.7200320000000002,0.00999863753413208,0.0,0.0
1.5,0.03,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r01_20260818_173859_761,approach,0.2,362,362,126,0.44350299999999976,0.033909096421734626,0.8571428571428571,nan
1.5,0.03,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r02_20260818_173929_852,approach,0.2,369,369,140,0.03345399999999987,0.05267579725961312,0.8285714285714286,nan
1.5,0.03,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r03_20260818_173959_164,approach,0.2,346,346,138,0.16051600000000033,0.04162400687235622,0.8405797101449275,nan
1.5,0.03,hakonasi2,/home/robo25/Downloads/recoding/202608261630.tar.xz::hakonasi2_20260826_161833_613,static,,623,0,0,nan,nan,nan,0.0
1.5,0.03,timing_hakonasi_other_floor,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_hakonasi_other_floor_20260826_162320_203,static,,675,0,0,nan,nan,nan,0.0
1.5,0.03,timing_x0.0mz1.2m,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_20260826_162000_354,static,,646,646,0,nan,nan,nan,0.0
1.5,0.03,timing_x0.0mz1.2m_shahei,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_shahei_20260826_162058_939,static,,835,578,0,nan,nan,nan,0.0
1.5,0.05,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,606,282,0.5202080000000002,0.013278536341558629,0.8014184397163121,nan
1.5,0.05,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,536,282,0.9399690000000005,0.01535858914362612,0.7978723404255319,nan
