session,session_path,frame,time_sec,occlusion_event,phase_label,detected,source_pixel_x,source_pixel_y,raw_x_m,raw_z_m,raw_distance_m,x_m,z_m,distance_m,area_px,contact_samples,bbox_width_px,bbox_height_px,bbox_aspect_ratio,bbox_fill_ratio,contour_solidity,measurement_available,measurement_accepted,rejection_reason,predicted_x_m,predicted_z_m,innovation_x_m,innovation_z_m,innovation_cov_xx,innovation_cov_xz,innovation_cov_zz,nis,track_available,track_predicted,filtered_x_m,filtered_z_m,filtered_distance_m,relative_vx_mps,relative_vz_mps,missing_age_sec
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,0,0.0,,,1,312.0,431.0,-0.07312425172311057,1.0456447535193925,1.0481985054142635,-0.02184105661646364,1.0456447535193925,1.0458728327654154,3538.5,15,60,74,0.8108108108108109,0.7969594594594595,0.9332717921666887,True,True,initialized,,,,,,,,,1,0,-0.021841056644916534,1.045644760131836,1.0458728393770111,0.0,0.0,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,1,0.03333333333333333,,,1,311.5,431.0,-0.07640040399060408,1.0457350176649234,1.0485221737763037,-0.023831937466176803,1.0457350176649234,1.0460065431984875,3590.0,16,61,74,0.8243243243243243,0.795303500221533,0.9077117572692794,True,True,accepted,-0.021841056644916534,1.045644760131836,-0.0019908808171749115,9.02414321899414e-05,0.0020784721709787846,0.0,0.0020784721709787846,0.0019108987180516124,1,0,-0.022969866171479225,1.0456959009170532,1.0459481497410201,-0.008022059686481953,0.00036361903767101467,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,2,0.06666666666666667,,,1,310.5,431.0,-0.08295520612406936,1.046043056597821,1.049327233268821,-0.02781521692808015,1.046043056597821,1.0464128069501386,3539.5,14,59,74,0.7972972972972973,0.8106962895098488,0.9416068103218941,True,True,accepted,-0.02323726750910282,1.0457080602645874,-0.004577949643135071,0.0003349781036376953,0.001895808964036405,0.0,0.001895808964036405,0.011113900691270828,1,0,-0.025641920045018196,1.0458840131759644,1.0461982972078745,-0.03448778763413429,0.0023001714143902063,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,3,0.1,,,1,312.5,431.0,-0.06985060179910665,1.0455412583224906,1.0478719527815765,-0.01985169641271748,1.0455412583224906,1.045729703463108,3578.5,14,59,74,0.7972972972972973,0.8196289509848832,0.9468183622172245,True,True,accepted,-0.026791512966156006,1.0459606647491455,0.0069398172199726105,-0.00041937828063964844,0.0018957407446578145,0.0,0.0018957407446578145,0.02549765445291996,1,0,-0.023146362975239754,1.0457403659820557,1.0459964948140434,0.003978502470999956,-2.437489638396073e-05,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,4,0.13333333333333333,,,1,312.0,431.0,-0.07312425172311057,1.0456447535193925,1.0481985054142635,-0.02184105661646364,1.0456447535193925,1.0458728327654154,3583.5,15,59,74,0.7972972972972973,0.820774163994503,0.9349073832507174,True,True,accepted,-0.023013746365904808,1.0457395315170288,0.0011726897209882736,-9.47713851928711e-05,0.0018194911535829306,0.0,0.0018194911535829306,0.0007607527077198029,1,0,-0.02242111973464489,1.0456916093826294,1.0459319521572084,0.00941513106226921,-0.0004637382226064801,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,5,0.16666666666666666,,,1,314.0,431.0,-0.060034666160174166,1.0456447535193925,1.0473667512880074,-0.013886662833701657,1.0456447535193925,1.045736960218624,3558.0,15,61,74,0.8243243243243243,0.7882144439521489,0.921045819311416,True,True,accepted,-0.022107282653450966,1.0456761121749878,0.008220619522035122,-3.135204315185547e-05,0.0017065037973225117,0.0,0.0017065037973225117,0.03960118070244789,1,0,-0.01822216808795929,1.0456613302230835,1.04582009204917,0.0402400940656662,-0.0005812993622384965,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,6,0.2,,,1,312.0,431.0,-0.07312425172311057,1.0456447535193925,1.0481985054142635,-0.02184105661646364,1.0456447535193925,1.0458728327654154,3540.0,15,59,74,0.7972972972972973,0.8108108108108109,0.9383697813121272,True,True,accepted,-0.016880830749869347,1.0456418991088867,-0.004960225895047188,2.86102294921875e-06,0.0015999670140445232,0.0,0.0015999670140445232,0.015377722680568695,1,0,-0.019050871953368187,1.0456430912017822,1.0458166234575745,0.025096390396356583,-0.0005725646042264998,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,7,0.23333333333333334,,,1,314.0,431.0,-0.060034666160174166,1.0456447535193925,1.0473667512880074,-0.013886662833701657,1.0456447535193925,1.045736960218624,3520.0,15,58,74,0.7837837837837838,0.8201304753028891,0.9407991447280503,True,True,accepted,-0.018214326351881027,1.045624017715454,0.004327663220465183,2.0742416381835938e-05,0.0015127676306292415,0.0,0.0015127676306292415,0.012380684725940228,1,0,-0.016461346298456192,1.0456323623657227,1.045761929479401,0.036093004047870636,-0.0005198580329306424,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,8,0.26666666666666666,,,1,302.5,429.0,-0.13892910316960594,1.0751811368276565,1.0841198147333728,-0.061829924003045385,1.0751811368276565,1.0769574812833764,3553.0,14,61,72,0.8472222222222222,0.8089708561020036,0.9405691594970218,True,True,accepted,-0.015258246101439,1.0456150770187378,-0.046571679413318634,0.029566049575805664,0.0014447893481701612,0.0,0.0014447893481701612,2.1062395572662354,1,0,-0.03281911090016365,1.0567636489868164,1.0572731453414528,-0.06515087187290192,0.0637548565864563,0.0
phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,/home/robo25/Downloads/202609171524.tar.xz::phase5_camera_mock_odom_dryrun_r02_20260917_145834_900,9,0.3,,,1,312.5,431.0,-0.06985060179910665,1.0455412583224906,1.0478719527815765,-0.01985169641271748,1.0455412583224906,1.045729703463108,3563.0,14,60,74,0.8108108108108109,0.8024774774774774,0.9439660882236057,True,True,accepted,-0.03499080613255501,1.0588887929916382,0.015139110386371613,-0.013347506523132324,0.001392763340845704,0.0,0.001392763340845704,0.2924751043319702,1,0,-0.029634548351168633,1.0541664361953735,1.054582894635046,-0.03616916388273239,0.0382029227912426,0.0
