collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
63,1,1,CLEAR,0,0.0,off,no_alert,,64,2.124662,697610.70976324,3.1857267739251256
64,1,1,CLEAR,0,0.0,off,no_alert,,65,2.159232,697610.743611248,3.219574781949632
65,1,1,CLEAR,0,0.0,off,no_alert,,66,2.190304,697610.777420972,3.253384505980648
66,1,1,CLEAR,0,0.0,off,no_alert,,67,2.23368,697610.811231646,3.2871951799606904
67,1,1,CLEAR,0,0.0,off,no_alert,,68,2.269485,697610.845095934,3.3210594679694623
68,1,1,CLEAR,0,0.0,off,no_alert,,69,2.299488,697610.878807534,3.3547710679704323
69,1,1,CLEAR,0,0.0,off,no_alert,,70,2.342162,697610.912604827,3.3885683609405532
70,1,1,CLEAR,0,0.0,off,no_alert,,71,2.378737,697610.946309835,3.422273368923925
71,1,1,CLEAR,0,0.0,off,no_alert,,72,2.411018,697610.980121828,3.456085362005979
72,1,1,CLEAR,0,0.0,off,no_alert,,73,2.44424,697611.014178439,3.4901419730158523
73,1,1,CLEAR,0,0.0,off,no_alert,,74,2.485472,697611.048068995,3.524032528977841
74,1,1,CLEAR,0,0.0,off,no_alert,,75,2.515724,697611.081882905,3.5578464389545843
75,1,1,CLEAR,0,0.0,off,no_alert,,76,2.548683,697611.115709076,3.591672610025853
76,1,1,CLEAR,0,0.0,off,no_alert,,77,2.577497,697611.149659202,3.6256227359408513
77,1,1,CLEAR,0,0.0,off,no_alert,,78,2.610303,697611.183595054,3.65955858794041
78,1,1,CLEAR,0,0.0,off,no_alert,,79,2.646473,697611.217466157,3.6934296910185367
79,1,1,CLEAR,0,0.0,off,no_alert,,80,2.680556,697611.25152093,3.727484463946894
80,1,1,CLEAR,0,0.0,off,no_alert,,81,2.718781,697611.285348064,3.7613115980057046
81,1,1,CLEAR,0,0.0,off,no_alert,,82,2.751414,697611.31912414,3.7950876739341766
82,1,1,CLEAR,0,0.0,off,no_alert,,83,2.794771,697611.353019108,3.8289826419204473
83,1,1,CLEAR,0,0.0,off,no_alert,,84,2.835814,697611.386883517,3.862847051001154
84,1,1,CLEAR,0,0.0,off,no_alert,,85,2.870305,697611.420875741,3.8968392750248313
85,1,1,CLEAR,0,0.0,off,no_alert,,86,2.905906,697611.454915091,3.930878625018522
86,1,1,CLEAR,0,0.0,off,no_alert,,87,2.937095,697611.488639884,3.964603418018669
87,1,1,CLEAR,0,0.0,off,no_alert,,88,2.972032,697611.522409129,3.9983726629288867
88,1,1,CLEAR,0,0.0,off,no_alert,,89,3.003244,697611.556100435,4.032063968945295
89,1,1,CLEAR,0,0.0,off,no_alert,,90,3.034922,697611.589781743,4.065745276981033
90,1,1,CLEAR,0,0.0,off,no_alert,,91,3.068244,697611.623464792,4.09942832600791
91,1,1,CLEAR,0,0.0,off,no_alert,,92,3.101282,697611.65735745,4.13332098396495
92,1,1,CLEAR,0,0.0,off,no_alert,,93,3.132699,697611.691232451,4.1671959849772975
93,1,1,CLEAR,0,0.0,off,no_alert,,94,3.165211,697611.725107121,4.201070655020885
94,1,1,CLEAR,0,0.0,off,no_alert,,95,3.196506,697611.759036797,4.23500033095479
95,1,1,CLEAR,0,0.0,off,no_alert,,96,3.228176,697611.792980894,4.268944427953102
96,1,1,CLEAR,0,0.0,off,no_alert,,97,3.260086,697611.827553683,4.30351721693296
97,1,1,CLEAR,0,0.0,off,no_alert,,98,3.292183,697611.861890278,4.337853812030517
98,1,1,CLEAR,0,0.0,off,no_alert,,99,3.325217,697611.896180106,4.372143639950082
99,1,1,CLEAR,0,0.0,off,no_alert,,100,3.358395,697611.930514464,4.406477998010814
100,1,1,CLEAR,0,0.0,off,no_alert,,101,3.386868,697611.964613806,4.440577339963056
101,1,1,CLEAR,0,0.0,off,no_alert,,102,3.418931,697611.998357013,4.474320546956733
102,1,1,CLEAR,0,0.0,off,no_alert,,103,3.451945,697612.032314532,4.508278065943159
103,1,1,CLEAR,0,0.0,off,no_alert,,104,3.483942,697612.066254254,4.542217787937261
104,1,1,CLEAR,0,0.0,off,no_alert,,105,3.515539,697612.100111544,4.576075077988207
105,1,1,CLEAR,0,0.0,off,no_alert,,106,3.547137,697612.133983396,4.6099469299661
106,1,1,CLEAR,0,0.0,off,no_alert,,107,3.579565,697612.16783609,4.64379962394014
107,1,1,CLEAR,0,0.0,off,no_alert,,108,3.61154,697612.201938739,4.677902273018844
108,1,1,CLEAR,0,0.0,off,no_alert,,109,3.644396,697612.236038737,4.712002270971425
109,1,1,CLEAR,0,0.0,off,no_alert,,110,3.675136,697612.26977648,4.745740014011972
110,1,1,CLEAR,0,0.0,off,no_alert,,111,3.707818,697612.303470715,4.779434248921461
111,1,1,CLEAR,0,0.0,off,no_alert,,112,3.739811,697612.337188205,4.813151738955639
112,1,1,CLEAR,0,0.0,off,no_alert,,113,3.772374,697612.370936721,4.846900254953653
113,1,1,CLEAR,0,0.0,off,no_alert,,114,3.803742,697612.404718641,4.88068217493128
114,1,1,CLEAR,0,0.0,off,no_alert,,115,3.837338,697612.438412961,4.91437649494037
115,1,1,CLEAR,0,0.0,off,no_alert,,116,3.866533,697612.47219972,4.94816325395368
116,1,1,PATH,0,0.0,off,no_alert,,117,3.900267,697612.506057182,4.982020715950057
117,1,1,PATH,0,0.0,off,no_alert,,118,3.931367,697612.539828476,5.0157920100027695
118,1,1,CLEAR,0,0.0,off,no_alert,,119,3.96591,697612.573583949,5.049547482980415
119,1,1,CLEAR,0,0.0,off,no_alert,,120,3.995925,697612.607448199,5.083411732921377
120,1,1,PATH,0,0.0,off,no_alert,,121,4.029018,697612.641265661,5.11722919496242
121,1,1,PATH,0,0.0,off,no_alert,,122,4.059481,697612.675087997,5.151051530963741
122,1,1,CLEAR,0,0.0,off,no_alert,,123,4.089619,697612.708954786,5.184918319922872
123,1,1,CLEAR,0,0.0,off,no_alert,,124,4.12277,697612.742747227,5.21871076093521
124,1,1,PATH,0,0.0,off,no_alert,,125,4.154366,697612.776424795,5.2523883290123194
125,1,1,PATH,0,0.0,off,no_alert,,126,4.188115,697612.810155585,5.2861191189149395
126,1,1,PATH,0,0.0,off,no_alert,,127,4.22127,697612.84409252,5.320056053926237
127,1,1,PATH,0,0.0,off,no_alert,,128,4.252579,697612.877840879,5.353804412996396
128,1,1,PATH,0,0.0,off,no_alert,,129,4.284158,697612.91183538,5.3877989139873534
129,1,1,PATH,0,0.0,off,no_alert,,130,4.321314,697612.945724314,5.421687847934663
130,1,1,PATH,0,0.0,off,no_alert,,131,4.353311,697612.97957999,5.455543524003588
131,1,1,PATH,0,0.0,off,no_alert,,132,4.383638,697613.013505175,5.4894687089836225
