session,experiment_label,expected_motion,nominal_speed_mps,motion_frames,motion_duration_sec,odom_path_m,raw_z_change_m,raw_z_scale_vs_odom,raw_z_scale_r2,filtered_z_change_m,filtered_z_scale_vs_odom,filtered_z_scale_r2,median_speed_scale_vs_odom,raw_z_correction_multiplier
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,218,7.441567000000001,0.53416683107,0.4277000000000001,0.8453317672364072,0.9989692261033073,0.4368000000000001,0.8471611029492292,0.9996132342792168,0.8244019735639116,1.1829674912954478
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,220,7.295268,0.5172694416970001,0.40539999999999987,0.845855814586646,0.9989508801425935,0.42490000000000006,0.8473445584034625,0.9995039230077516,0.8352660597735737,1.1822345874499678
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,216,7.168455999999999,0.508593189035,0.4161999999999999,0.8396231288933069,0.9991892694646165,0.42100000000000004,0.8399717035893017,0.9996248135887763,0.8139599438770636,1.1910105445976495
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,approach,0.2,108,3.5694250000000003,0.5192526409664998,0.39260000000000006,0.8286300720517863,0.9966487023716951,0.4093,0.8389015016216819,0.9990285242191664,0.8192971615083745,1.2068111377178015
approach_center_v0p20_r02_20260903_140754_182,approach_center_v0p20_r02_20260903_140754_182,approach,0.2,110,3.6317159999999995,0.5235124703199999,0.40859999999999996,0.8264470833859996,0.9972436310936438,0.41300000000000003,0.8340937755550445,0.99903436162299,0.8137198446046279,1.2099988252156986
approach_center_v0p20_r03_20260903_140831_916,approach_center_v0p20_r03_20260903_140831_916,approach,0.2,110,3.698142,0.5343671772909998,0.4114,0.8438906792483529,0.9986359898037868,0.4434,0.8506693508600579,0.9996654956041863,0.8254301720504711,1.1849876110620068
retreat_center_v0p10_r01_20260903_140445_028,retreat_center_v0p10_r01_20260903_140445_028,retreat,0.1,204,6.758044000000001,0.48113455052450005,0.3945000000000001,0.867129919139812,0.9989111561342994,0.4142000000000001,0.8697879133394599,0.9994361660521318,0.8633337213428699,1.1532297270886402
retreat_center_v0p10_r02_20260903_140557_257,retreat_center_v0p10_r02_20260903_140557_257,retreat,0.1,204,6.764551,0.48491457543150013,0.42090000000000005,0.8623416735816473,0.999273354342689,0.4194,0.8637447931736724,0.9994768046944931,0.8403318317426902,1.1596331600751741
retreat_center_v0p10_r03_20260903_140638_925,retreat_center_v0p10_r03_20260903_140638_925,retreat,0.1,204,6.774231,0.48441750340449985,0.4162999999999999,0.8670188679221623,0.9993725147972955,0.4193,0.8681393920612658,0.9995934365715792,0.8357623149437068,1.1533774373290526
