session,experiment_label,expected_motion,nominal_speed_mps,velocity_source,decision,decision_without_hold_requirement,relative_speed_mae_mps,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,reasons,reasons_without_hold_requirement
approach_center_v0p20_r03_20260818_173959_164,approach_center_v0p20_r03_20260818_173959_164,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,45,43,16,4.541559554413024,0.7844,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0
approach_center_v0p20_r03_20260818_173959_164,approach_center_v0p20_r03_20260818_173959_164,approach,0.2,conservative,FAIL,FAIL,0.006977230998796889,1.0,0.0,0.0,45,43,16,4.541559554413024,0.7844,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0,maximum_warning_entry_delay_sec=0.5597509999999986 > 0.15; path_while_forward_after_warning_frames=2.0 > 0
approach_center_v0p10_r01_20260901_142324_230,approach_center_v0p10_r01_20260901_142324_230,approach,0.1,visual,FAIL,FAIL,0.014392768914467688,0.9045643153526971,0.5797420000000004,0.0,0,0,0,,,ttc_activation_delay_sec=0.5797420000000004 > 0.5,ttc_activation_delay_sec=0.5797420000000004 > 0.5
approach_center_v0p10_r01_20260901_142324_230,approach_center_v0p10_r01_20260901_142324_230,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260901_142324_230,approach_center_v0p10_r01_20260901_142324_230,approach,0.1,conservative,PASS,PASS,0.0010609127572185292,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260901_142401_291,approach_center_v0p10_r02_20260901_142401_291,approach,0.1,visual,FAIL,FAIL,0.015539316988216251,0.891566265060241,1.0682660000000004,0.0,0,0,0,,,steady_direction_correct_rate=0.9377162629757786 < 0.95; ttc_activation_delay_sec=1.0682660000000004 > 0.5,steady_direction_correct_rate=0.9377162629757786 < 0.95; ttc_activation_delay_sec=1.0682660000000004 > 0.5
approach_center_v0p10_r02_20260901_142401_291,approach_center_v0p10_r02_20260901_142401_291,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260901_142401_291,approach_center_v0p10_r02_20260901_142401_291,approach,0.1,conservative,PASS,PASS,0.0006707233915205228,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260901_142434_429,approach_center_v0p10_r03_20260901_142434_429,approach,0.1,visual,FAIL,FAIL,0.017851936770481254,0.8433734939759037,0.9392579999999997,0.0,0,0,0,,,ttc_activation_delay_sec=0.9392579999999997 > 0.5,ttc_activation_delay_sec=0.9392579999999997 > 0.5
approach_center_v0p10_r03_20260901_142434_429,approach_center_v0p10_r03_20260901_142434_429,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260901_142434_429,approach_center_v0p10_r03_20260901_142434_429,approach,0.1,conservative,PASS,PASS,0.002064291084034573,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p20_r01_20260901_143052_426,approach_center_v0p20_r01_20260901_143052_426,approach,0.2,visual,FAIL,FAIL,0.02679700622488148,0.9622641509433962,0.5989390000000006,0.0,11,15,13,4.599098476912477,0.6728,ttc_activation_delay_sec=0.5989390000000006 > 0.5,ttc_activation_delay_sec=0.5989390000000006 > 0.5
approach_center_v0p20_r01_20260901_143052_426,approach_center_v0p20_r01_20260901_143052_426,approach,0.2,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,26,30,13,4.396660882615016,0.75,,
approach_center_v0p20_r01_20260901_143052_426,approach_center_v0p20_r01_20260901_143052_426,approach,0.2,conservative,PASS,PASS,0.0,1.0,0.0,0.0,26,30,13,4.396660882615016,0.75,,
approach_center_v0p20_r02_20260901_143130_004,approach_center_v0p20_r02_20260901_143130_004,approach,0.2,visual,PASS,PASS,0.025045480176836634,0.926605504587156,0.43571300000000024,0.0,13,13,6,4.568843186848241,0.6894,,
approach_center_v0p20_r02_20260901_143130_004,approach_center_v0p20_r02_20260901_143130_004,approach,0.2,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,23,21,6,4.478114478114478,0.7448,,
approach_center_v0p20_r02_20260901_143130_004,approach_center_v0p20_r02_20260901_143130_004,approach,0.2,conservative,PASS,PASS,0.0001173057158572005,1.0,0.0,0.0,23,21,6,4.478114478114478,0.7448,,
approach_center_v0p20_r03_20260901_143206_639,approach_center_v0p20_r03_20260901_143206_639,approach,0.2,visual,FAIL,FAIL,0.023896624702914628,0.9636363636363636,0.3013619999999997,0.0,12,19,15,4.563272700995581,0.6813,motion_track_rate=0.946969696969697 < 0.95,motion_track_rate=0.946969696969697 < 0.95
approach_center_v0p20_r03_20260901_143206_639,approach_center_v0p20_r03_20260901_143206_639,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,24,29,15,4.427373970033007,0.7458,motion_track_rate=0.946969696969697 < 0.95,motion_track_rate=0.946969696969697 < 0.95
approach_center_v0p20_r03_20260901_143206_639,approach_center_v0p20_r03_20260901_143206_639,approach,0.2,conservative,FAIL,FAIL,0.0,1.0,0.0,0.0,24,29,15,4.427373970033007,0.7458,motion_track_rate=0.946969696969697 < 0.95,motion_track_rate=0.946969696969697 < 0.95
approach_center_v0p20_r04_20260901_143249_502,approach_center_v0p20_r04_20260901_143249_502,approach,0.2,visual,FAIL,FAIL,0.02893315020609664,0.9626168224299065,0.2821720000000001,0.0,13,13,6,4.566201311256481,0.68,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15
approach_center_v0p20_r04_20260901_143249_502,approach_center_v0p20_r04_20260901_143249_502,approach,0.2,odom_static,FAIL,FAIL,0.0,1.0,0.0,0.0,26,26,6,4.583011940390608,0.7427,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15
approach_center_v0p20_r04_20260901_143249_502,approach_center_v0p20_r04_20260901_143249_502,approach,0.2,conservative,FAIL,FAIL,2.291896343231064e-06,1.0,0.0,0.0,26,26,6,4.583011940390608,0.7427,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15,maximum_warning_entry_delay_sec=0.1956629999999997 > 0.15
retreat_center_v0p10_r01_20260901_142527_026,retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,visual,FAIL,FAIL,0.019259739473462524,nan,nan,0.0,0,0,0,,,direction_response_delay_sec=0.8057939999999997 > 0.6; steady_direction_correct_rate=0.9496124031007752 < 0.95,direction_response_delay_sec=0.8057939999999997 > 0.6; steady_direction_correct_rate=0.9496124031007752 < 0.95
retreat_center_v0p10_r01_20260901_142527_026,retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260901_142527_026,retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,conservative,FAIL,FAIL,0.017041339146273912,nan,nan,0.0,0,0,0,,,direction_response_delay_sec=0.8057939999999997 > 0.6; steady_direction_correct_rate=0.9496124031007752 < 0.95,direction_response_delay_sec=0.8057939999999997 > 0.6; steady_direction_correct_rate=0.9496124031007752 < 0.95
retreat_center_v0p10_r02_20260901_142605_934,retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,visual,PASS,PASS,0.017706366664905375,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260901_142605_934,retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260901_142605_934,retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,conservative,PASS,PASS,0.01610869293137949,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260901_142643_149,retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,visual,PASS,PASS,0.014552018321968618,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260901_142643_149,retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260901_142643_149,retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,conservative,PASS,PASS,0.012522571148229614,nan,nan,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,visual,PASS,PASS,0.014312364093701688,1.0,0.4545440000000003,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r01_20260903_140231_828,approach_center_v0p10_r01_20260903_140231_828,approach,0.1,conservative,PASS,PASS,0.0001235473521745532,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,visual,PASS,PASS,0.014387874991916193,1.0,0.46875400000000056,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r02_20260903_140318_833,approach_center_v0p10_r02_20260903_140318_833,approach,0.1,conservative,PASS,PASS,4.776999516919254e-08,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,visual,PASS,PASS,0.014749967388967496,1.0,0.4689349999999992,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p10_r03_20260903_140401_526,approach_center_v0p10_r03_20260903_140401_526,approach,0.1,conservative,PASS,PASS,1.7434134924853382e-06,1.0,0.0,0.0,0,0,0,,,,
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,approach,0.2,visual,FAIL,FAIL,0.038499430711986145,1.0,0.3371970000000002,0.0,0,0,0,,,relative_speed_mae_mps=0.038499430711986145 > 0.030491900000000002; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15,relative_speed_mae_mps=0.038499430711986145 > 0.030491900000000002; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,approach,0.2,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,14,10,0,4.593554593554594,0.764,,
approach_center_v0p20_r01_20260903_140715_416,approach_center_v0p20_r01_20260903_140715_416,approach,0.2,conservative,PASS,PASS,0.0,1.0,0.0,0.0,14,12,0,4.593554593554594,0.764,,
approach_center_v0p20_r02_20260903_140754_182,approach_center_v0p20_r02_20260903_140754_182,approach,0.2,visual,FAIL,FAIL,0.038404515979580764,1.0,0.39971000000000023,0.0,0,0,0,,,relative_speed_mae_mps=0.038404515979580764 > 0.030278600000000003; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15,relative_speed_mae_mps=0.038404515979580764 > 0.030278600000000003; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r02_20260903_140754_182,approach_center_v0p20_r02_20260903_140754_182,approach,0.2,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,6,8,0,4.51143130418685,0.7311,,
approach_center_v0p20_r02_20260903_140754_182,approach_center_v0p20_r02_20260903_140754_182,approach,0.2,conservative,PASS,PASS,0.0,1.0,0.0,0.0,6,10,0,4.51143130418685,0.7311,,
