collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
0,1,1,CLEAR,0,0.0,off,no_alert,,1,0.028136,4537.864673632,5.024210615999436
1,1,1,CLEAR,0,0.0,off,no_alert,,2,0.056144,4537.899148443,5.058685426999546
2,1,1,CLEAR,0,0.0,off,no_alert,,3,0.089436,4537.933425652,5.092962635999356
3,1,1,CLEAR,0,0.0,off,no_alert,,4,0.123797,4537.967678038,5.127215021999291
4,1,1,CLEAR,0,0.0,off,no_alert,,5,0.156399,4538.001561026,5.161098009999478
5,1,1,CLEAR,0,0.0,off,no_alert,,6,0.186636,4538.03531379,5.19485077399986
6,1,1,CLEAR,0,0.0,off,no_alert,,7,0.222702,4538.069274099,5.228811082999528
7,1,1,CLEAR,0,0.0,off,no_alert,,8,0.255195,4538.103270065,5.262807049000003
8,1,1,CLEAR,0,0.0,off,no_alert,,9,0.288225,4538.137201555,5.296738538999307
9,1,1,CLEAR,0,0.0,off,no_alert,,10,0.323196,4538.171578174,5.331115158000102
10,1,1,CLEAR,0,0.0,off,no_alert,,11,0.356285,4538.205816207,5.365353190999485
11,1,1,CLEAR,0,0.0,off,no_alert,,12,0.388173,4538.240180744,5.399717727999814
12,1,1,CLEAR,0,0.0,off,no_alert,,13,0.425402,4538.274396475,5.4339334589994905
13,1,1,CLEAR,0,0.0,off,no_alert,,14,0.457078,4538.308550949,5.468087932999879
14,1,1,CLEAR,0,0.0,off,no_alert,,15,0.490272,4538.34280671,5.5023436940000465
15,1,1,CLEAR,0,0.0,off,no_alert,,16,0.5243,4538.3769058,5.536442783999519
16,1,1,CLEAR,0,0.0,off,no_alert,,17,0.55541,4538.410928355,5.570465338999384
17,1,1,CLEAR,0,0.0,off,no_alert,,18,0.586876,4538.444973785,5.604510768999717
18,1,1,CLEAR,0,0.0,off,no_alert,,19,0.623339,4538.479120727,5.638657710999723
19,1,1,CLEAR,0,0.0,off,no_alert,,20,0.655081,4538.513090819,5.6726278030000685
20,1,1,CLEAR,0,0.0,off,no_alert,,21,0.687281,4538.546853265,5.706390248999924
21,1,1,CLEAR,0,0.0,off,no_alert,,22,0.72336,4538.580527974,5.740064957999493
22,1,1,CLEAR,0,0.0,off,no_alert,,23,0.755261,4538.61450531,5.774042293999628
23,1,1,CLEAR,0,0.0,off,no_alert,,24,0.788695,4538.648553417,5.80809040099939
24,1,1,CLEAR,0,0.0,off,no_alert,,25,0.825256,4538.682517352,5.842054335999819
25,1,1,CLEAR,0,0.0,off,no_alert,,26,0.855779,4538.71647297,5.876009953999528
26,1,1,CLEAR,0,0.0,off,no_alert,,27,0.888603,4538.75044874,5.909985723999853
27,1,1,CLEAR,0,0.0,off,no_alert,,28,0.924786,4538.784287934,5.943824917999336
28,1,1,CLEAR,0,0.0,off,no_alert,,29,0.966764,4538.818329225,5.97786620899933
