topic,bag_time_jst,header_time_jst,sequence,linear_x_mps,risk_level,active,output_mode,action,output_active,requested_magnitude,applied_magnitude,fault,reason
/collision/ffb_command,2026-09-17T16:10:04.817+09:00,2026-09-17T16:10:04.838+09:00,4668,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.852+09:00,2026-09-17T16:10:04.873+09:00,4669,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.894+09:00,2026-09-17T16:10:04.915+09:00,4670,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.919+09:00,2026-09-17T16:10:04.941+09:00,4671,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.959+09:00,2026-09-17T16:10:04.976+09:00,4672,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:04.984+09:00,2026-09-17T16:10:05.005+09:00,4673,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.017+09:00,2026-09-17T16:10:05.038+09:00,4674,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.061+09:00,2026-09-17T16:10:05.082+09:00,4675,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.084+09:00,2026-09-17T16:10:05.105+09:00,4676,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.119+09:00,2026-09-17T16:10:05.140+09:00,4677,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.151+09:00,2026-09-17T16:10:05.172+09:00,4678,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.186+09:00,2026-09-17T16:10:05.207+09:00,4679,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.219+09:00,2026-09-17T16:10:05.240+09:00,4680,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.257+09:00,2026-09-17T16:10:05.273+09:00,4681,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.287+09:00,2026-09-17T16:10:05.306+09:00,4682,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.325+09:00,2026-09-17T16:10:05.343+09:00,4683,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.358+09:00,2026-09-17T16:10:05.378+09:00,4684,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.386+09:00,2026-09-17T16:10:05.407+09:00,4685,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.420+09:00,2026-09-17T16:10:05.441+09:00,4686,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.452+09:00,2026-09-17T16:10:05.473+09:00,4687,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.486+09:00,2026-09-17T16:10:05.507+09:00,4688,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.519+09:00,2026-09-17T16:10:05.540+09:00,4689,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.555+09:00,2026-09-17T16:10:05.573+09:00,4690,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.586+09:00,2026-09-17T16:10:05.607+09:00,4691,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.618+09:00,2026-09-17T16:10:05.640+09:00,4692,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.653+09:00,2026-09-17T16:10:05.674+09:00,4693,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.686+09:00,2026-09-17T16:10:05.706+09:00,4694,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.719+09:00,2026-09-17T16:10:05.740+09:00,4695,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.757+09:00,2026-09-17T16:10:05.774+09:00,4696,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.785+09:00,2026-09-17T16:10:05.806+09:00,4697,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.819+09:00,2026-09-17T16:10:05.840+09:00,4698,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.860+09:00,2026-09-17T16:10:05.876+09:00,4699,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.895+09:00,2026-09-17T16:10:05.916+09:00,4700,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.916+09:00,2026-09-17T16:10:05.937+09:00,4701,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.962+09:00,2026-09-17T16:10:05.978+09:00,4702,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:05.984+09:00,2026-09-17T16:10:06.005+09:00,4703,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.022+09:00,2026-09-17T16:10:06.042+09:00,4704,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.057+09:00,2026-09-17T16:10:06.072+09:00,4705,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.086+09:00,2026-09-17T16:10:06.106+09:00,4706,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.119+09:00,2026-09-17T16:10:06.140+09:00,4707,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.185+09:00,2026-09-17T16:10:06.186+09:00,4708,,0,False,,,,0.0,,,no_alert
