experiment_label,session_dir,frames,duration_sec,effective_fps,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,moving_frames,direction_correct_rate,relative_speed_mae_mps,ttc_active_rate,ttc_active_rate_while_approaching,minimum_ttc_sec,ttc_vs_odom_mae_sec,path_corridor_rate,warning_or_critical_rate,warning_hold_rate,unknown_rate,critical_rate,warning_or_critical_frames,critical_frames
approach_center_v0p20_r01,/home/robo25/Downloads/202609031545.tar.xz::approach_center_v0p20_r01_20260903_153413_843,499,16.602652000000003,29.99520799448184,1.0,1.0,1.0,1.0,224,0.9910714285714286,0.0010405131284729426,0.46292585170340683,1.0,7.5775136323690875,0.0007652146634717916,0.4088176352705411,0.0,0.0,0.0,0.0,0,0
approach_center_v0p20_r02,/home/robo25/Downloads/202609031545.tar.xz::approach_center_v0p20_r02_20260903_154255_459,518,17.209792,30.041037102598334,1.0,1.0,1.0,1.0,214,0.9906542056074766,0.0010798446152374048,0.4305019305019305,1.0,7.73761485182003,0.0008765868679727995,0.3861003861003861,0.0,0.0,0.0,0.0,0,0
approach_center_v0p20_r03,/home/robo25/Downloads/202609031545.tar.xz::approach_center_v0p20_r03_20260903_154331_538,501,16.660041999999997,30.011929141595207,1.0,1.0,1.0,1.0,216,1.0,1.4957603758306003e-05,0.4471057884231537,1.0,7.667843585906888,0.004774637631538062,0.3992015968063872,0.0,0.0,0.0,0.0,0,0
retreat_center_v0p10_r01,/home/robo25/Downloads/202609031545.tar.xz::retreat_center_v0p10_r01_20260903_154413_782,599,19.949753,29.97530846622512,1.0,1.0,1.0,1.0,204,1.0,0.01715790329318148,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
static_center_ttc_r01,/home/robo25/Downloads/202609031545.tar.xz::static_center_ttc_r01_20260903_153206_220,448,14.891704,30.01671266095539,1.0,1.0,1.0,1.0,0,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0
