class,sources,sessions,observations,max_aspect_ratio,candidate_accepted,candidate_acceptance_rate,area_min_px,area_median_px,area_max_px,aspect_min,aspect_p01,aspect_p05,aspect_median,aspect_p95,aspect_p99,aspect_max,fill_median,solidity_median,source_pixel_x_median,source_pixel_y_median,raw_distance_median_m
no_target_false_candidate,Experimental_results/2026-08-26_historical_no_target_observation_replay.csv;Experimental_results/2026-08-26_no_target_observation_replay.csv,2,1240,1.5,0,0.0,300.0,1219.25,2287.0,1.5454545454545454,1.6497222222222223,1.8611111111111112,2.6,4.666666666666667,5.300833333333324,5.8,0.5630889383738928,0.7989842359803647,408.0,489.0,0.5466667165335812
stable_blue_target,Experimental_results/2026-08-25_holdout_observation_replay.csv;Experimental_results/2026-08-25_raw_ground_distance_observation_replay.csv;Experimental_results/2026-08-25_environment_shift_observation_replay.csv;Experimental_results/2026-08-26_raw_ground_distance_holdout_observation_replay.csv,24,14002,1.5,14002,1.0,476.5,2472.5,3590.0,0.5645161290322581,0.5909090909090909,0.6142857142857143,0.7368421052631579,1.0142857142857142,1.1,1.3928571428571428,0.7527071563088512,0.9076680277236504,318.0,435.0,1.073557966033425
