experiment_label,session_dir,frames,requested_fps,effective_fps,fps_within_one_percent,dt_median_ms,dt_p90_ms,dt_p95_ms,dt_p99_ms,dt_max_ms,dt_over_40ms_rate,dt_over_50ms_rate,first_half_fps,last_half_fps,raw_kib_per_frame,bev_kib_per_frame,detection_kib_per_frame,odom_poll_median_ms,capture_read_median_ms,bev_preprocess_median_ms,blue_pipeline_median_ms,ai_perception_median_ms,overlay_render_median_ms,display_median_ms,video_write_median_ms,processing_total_median_ms,processing_over_budget_rate,processing_active_median_ms,processing_active_p95_ms,processing_active_over_budget_rate
hakonasi2,/home/robo25/Downloads/recoding/202608261630.tar.xz::hakonasi2_20260826_161833_613,623,30.0,30.005536069645263,1,32.28950000000008,36.76650000000011,37.69250000000039,43.97390000000032,72.12999999999958,0.022508038585209004,0.003215434083601286,29.993622256463603,30.017459351196262,65.12496864967898,25.010928721910112,16.853155096308186,0.502,9.582,6.09,2.171,0.005,0.206,2.02,8.756,29.899,0.2102728731942215,20.130000000000003,24.914400000000004,0.006420545746388443
timing_hakonasi_other_floor,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_hakonasi_other_floor_20260826_162320_203,675,30.0,29.99953353841026,1,32.228000000000364,36.3330999999997,37.041299999999744,40.07472000000016,46.843000000000856,0.011869436201780416,0.0,30.005372475297214,29.993696873553162,108.84112847222222,48.20071759259259,28.15425925925926,0.497,9.121,5.833,2.164,0.004,0.2,1.846,10.135,30.402,0.2237037037037037,21.18,24.201799999999988,0.002962962962962963
timing_x0.0mz1.2m,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_20260826_162000_354,646,30.0,30.00365346812928,1,32.49900000000005,36.05500000000035,36.61999999999992,39.888639999999945,46.86900000000094,0.009302325581395349,0.0,30.00095406760761,30.006344994932363,64.6461729634288,31.109604779411764,40.17655826722136,0.426,8.853,6.2775,2.585,0.005,0.6895,1.8445,9.1815,30.389499999999998,0.19659442724458204,21.634999999999998,23.87375,0.007739938080495356
timing_x0.0mz1.2m_shahei,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_shahei_20260826_162058_939,835,30.0,30.006305641638793,1,32.49449999999943,36.653499999999894,37.61100000000148,39.2923200000005,44.45300000000074,0.005995203836930456,0.0,30.006510765213516,30.006100520868486,65.30683944610779,30.074614053143712,28.684272080838323,0.491,8.556,6.783,2.393,0.006,0.666,1.892,9.098,30.473,0.21437125748502994,21.82,24.6127,0.003592814371257485
