topic,bag_time_jst,header_time_jst,sequence,linear_x_mps,risk_level,active,output_mode,action,output_active,requested_magnitude,applied_magnitude,fault,reason,receiver_session_id,receiver_token,challenge_session_id,challenge_token
/collision/ffb_intent,2026-09-25T17:29:30.847+09:00,2026-09-25T17:29:30.840+09:00,0,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:30.884+09:00,2026-09-25T17:29:30.877+09:00,1,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:30.924+09:00,2026-09-25T17:29:30.920+09:00,2,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:30.966+09:00,2026-09-25T17:29:30.949+09:00,3,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.017+09:00,2026-09-25T17:29:30.986+09:00,4,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.035+09:00,2026-09-25T17:29:31.031+09:00,5,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.139+09:00,2026-09-25T17:29:31.130+09:00,6,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.243+09:00,2026-09-25T17:29:31.238+09:00,7,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.355+09:00,2026-09-25T17:29:31.348+09:00,8,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.465+09:00,2026-09-25T17:29:31.460+09:00,9,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.577+09:00,2026-09-25T17:29:31.571+09:00,10,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.689+09:00,2026-09-25T17:29:31.679+09:00,11,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.793+09:00,2026-09-25T17:29:31.788+09:00,12,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:31.904+09:00,2026-09-25T17:29:31.895+09:00,13,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.016+09:00,2026-09-25T17:29:32.008+09:00,14,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.126+09:00,2026-09-25T17:29:32.120+09:00,15,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.232+09:00,2026-09-25T17:29:32.227+09:00,16,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.348+09:00,2026-09-25T17:29:32.340+09:00,17,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.457+09:00,2026-09-25T17:29:32.448+09:00,18,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.570+09:00,2026-09-25T17:29:32.557+09:00,19,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.697+09:00,2026-09-25T17:29:32.670+09:00,20,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.792+09:00,2026-09-25T17:29:32.780+09:00,21,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:32.916+09:00,2026-09-25T17:29:32.892+09:00,22,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.006+09:00,2026-09-25T17:29:33.001+09:00,23,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.119+09:00,2026-09-25T17:29:33.107+09:00,24,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.223+09:00,2026-09-25T17:29:33.218+09:00,25,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.341+09:00,2026-09-25T17:29:33.329+09:00,26,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.446+09:00,2026-09-25T17:29:33.439+09:00,27,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.557+09:00,2026-09-25T17:29:33.546+09:00,28,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.667+09:00,2026-09-25T17:29:33.661+09:00,29,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.778+09:00,2026-09-25T17:29:33.770+09:00,30,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.887+09:00,2026-09-25T17:29:33.877+09:00,31,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:33.994+09:00,2026-09-25T17:29:33.990+09:00,32,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.105+09:00,2026-09-25T17:29:34.099+09:00,33,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.212+09:00,2026-09-25T17:29:34.207+09:00,34,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.323+09:00,2026-09-25T17:29:34.315+09:00,35,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.447+09:00,2026-09-25T17:29:34.440+09:00,36,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.551+09:00,2026-09-25T17:29:34.544+09:00,37,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.667+09:00,2026-09-25T17:29:34.656+09:00,38,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.773+09:00,2026-09-25T17:29:34.766+09:00,39,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:34.899+09:00,2026-09-25T17:29:34.882+09:00,40,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.013+09:00,2026-09-25T17:29:34.988+09:00,41,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.094+09:00,2026-09-25T17:29:35.090+09:00,42,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.217+09:00,2026-09-25T17:29:35.211+09:00,43,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.339+09:00,2026-09-25T17:29:35.317+09:00,44,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.427+09:00,2026-09-25T17:29:35.420+09:00,45,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.539+09:00,2026-09-25T17:29:35.531+09:00,46,,0,False,,,,0.0,,,no_alert,0,0,,
/collision/ffb_intent,2026-09-25T17:29:35.663+09:00,2026-09-25T17:29:35.647+09:00,47,,0,False,,,,0.0,,,no_alert,0,0,,
