session,expected_x_m,expected_z_m,frames,duration_sec,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,median_x_m,median_z_m,error_x_m,error_z_m,position_error_m,std_x_m,std_z_m
x-0.22m_z0.95m_20260818_162502_015,-0.220,0.950,159,6.317,1.000000,1.000000,1.000000,1.000000,-0.2217,0.9046,-0.0017,-0.0454,0.0454,0.0074,0.0076
x-0.22m_z1.2m_20260818_162820_565,-0.220,1.200,169,6.719,1.000000,1.000000,1.000000,1.000000,-0.2474,1.1816,-0.0274,-0.0184,0.0330,0.0063,0.0031
x0.0m_z0.8m_20260818_162139_642,0.000,0.800,161,6.398,1.000000,1.000000,1.000000,1.000000,-0.0181,0.7732,-0.0181,-0.0268,0.0323,0.0050,0.0001
x0.0m_z1.0m_20260818_162224_840,0.000,1.000,169,6.716,1.000000,1.000000,1.000000,1.000000,-0.0314,0.9790,-0.0314,-0.0210,0.0378,0.0022,0.0000
x0.0m_z1.3m_20260818_162247_135,0.000,1.300,173,6.888,1.000000,1.000000,1.000000,1.000000,-0.0120,1.3149,-0.0120,0.0149,0.0191,0.0049,0.0005
x0.22m_z0.95m_20260818_162539_367,0.220,0.950,160,6.359,1.000000,1.000000,1.000000,1.000000,0.2120,1.0208,-0.0080,0.0708,0.0713,0.0027,0.0019
x0.22m_z1.2m_20260818_162746_609,0.220,1.200,172,6.834,1.000000,1.000000,1.000000,1.000000,0.2130,1.2551,-0.0070,0.0551,0.0555,0.0058,0.0025
