dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-25/phase5_v9_camera_unknown_dryrun_r01_analysis/observation_replay.csv,forward_z,1450.0,phase5_v9_camera_unknown_dryrun_r01_20260925_164955_362,830,828,826,0.9975845410628019,2,2,1.0,0,0,nan,0,0.0941656157374382,0.037413875609636264,0,0,0,nan,nan,PASS
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-25/phase5_v9_camera_unknown_dryrun_r01_analysis/observation_replay.csv,calibrated_ground_distance,1450.0,phase5_v9_camera_unknown_dryrun_r01_20260925_164955_362,830,828,826,0.9975845410628019,2,2,1.0,0,0,nan,0,0.0941656157374382,0.037413875609636264,0,0,0,nan,nan,PASS
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-25/phase5_v9_camera_unknown_dryrun_r01_analysis/observation_replay.csv,raw_ground_distance,1450.0,phase5_v9_camera_unknown_dryrun_r01_20260925_164955_362,830,828,826,0.9975845410628019,2,2,1.0,0,0,nan,0,0.0941656157374382,0.037413875609636264,0,0,0,nan,nan,PASS
