collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
63,1,1,CLEAR,0,0.0,off,no_alert,,64,2.123161,5737.368480742,7.194556321000164
64,1,1,CLEAR,0,0.0,off,no_alert,,65,2.155115,5737.403300042,7.229375621000145
65,1,1,CLEAR,0,0.0,off,no_alert,,66,2.188883,5737.438067173,7.264142751999316
66,1,1,CLEAR,0,0.0,off,no_alert,,67,2.223768,5737.472884823,7.298960401999466
67,1,1,CLEAR,0,0.0,off,no_alert,,68,2.256156,5737.507729191,7.333804769999915
68,1,1,CLEAR,0,0.0,off,no_alert,,69,2.288816,5737.542436214,7.368511792999925
69,1,1,CLEAR,0,0.0,off,no_alert,,70,2.326083,5737.577423434,7.4034990129994185
70,1,1,CLEAR,0,0.0,off,no_alert,,71,2.35953,5737.612275629,7.438351207999403
71,1,1,CLEAR,0,0.0,off,no_alert,,72,2.390568,5737.646650296,7.472725874999924
72,1,1,CLEAR,0,0.0,off,no_alert,,73,2.426298,5737.680841026,7.5069166049997875
73,1,1,CLEAR,0,0.0,off,no_alert,,74,2.46739,5737.715211762,7.541287340999588
74,1,1,CLEAR,0,0.0,off,no_alert,,75,2.511866,5737.749259513,7.575335091999477
75,1,1,CLEAR,0,0.0,off,no_alert,,76,2.542725,5737.783939722,7.610015300999294
76,1,1,CLEAR,0,0.0,off,no_alert,,77,2.577581,5737.818299009,7.644374587999664
77,1,1,CLEAR,0,0.0,off,no_alert,,78,2.60745,5737.85247924,7.678554819000055
78,1,1,CLEAR,0,0.0,off,no_alert,,79,2.639208,5737.886707602,7.712783180999395
79,1,1,CLEAR,0,0.0,off,no_alert,,80,2.67197,5737.920876265,7.746951843999341
80,1,1,CLEAR,0,0.0,off,no_alert,,81,2.703763,5737.955107739,7.781183317999421
81,1,1,CLEAR,0,0.0,off,no_alert,,82,2.734902,5737.989640345,7.81571592399996
