send_monotonic_sec,elapsed_sec,sequence,source,risk_level,pattern,active,requested_magnitude,reason,receiver_session_id,receiver_token
9491.694476885,2.001327347001279,0,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7309
9491.728224801,2.0350752630001807,1,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7311
9491.761898579,2.0687490410000464,2,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7313
9491.795496021,2.1023464830013836,3,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7315
9491.829154058,2.136004519999915,4,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7316
9491.86277564,2.1696261020006204,5,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7318
9491.896386954,2.203237416000775,6,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7320
9491.929972548,2.23682301000008,7,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7321
9491.963663092,2.27051355399999,8,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7323
9491.997326695,2.304177157000595,9,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7325
9492.030996803,2.337847265000164,10,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7326
9492.064617148,2.3714676100007637,11,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7328
9492.098215414,2.4050658760006627,12,bird_eye,2,1,1,0.03,manual_collision_ffb_probe:triple,8204739433488553620,7330
9492.131831446,2.4386819080009445,13,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7331
9492.165415226,2.472265688000334,14,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7333
9492.199037439,2.505887901001188,15,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7335
9492.219329666,2.526180128001215,16,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7336
9492.239614001,2.54646446300103,17,bird_eye,0,0,0,0.0,probe_clear,8204739433488553620,7337
