collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
63,1,1,CLEAR,0,0.0,off,no_alert,,64,2.118782,7982.777187846,7.165855664999981
64,1,1,CLEAR,0,0.0,off,no_alert,,65,2.152295,7982.811183562,7.1998513810003715
65,1,1,CLEAR,0,0.0,off,no_alert,,66,2.185535,7982.845113828,7.233781646999887
66,1,1,CLEAR,0,0.0,off,no_alert,,67,2.219547,7982.879111158,7.267778977000489
67,1,1,CLEAR,0,0.0,off,no_alert,,68,2.252735,7982.913105145,7.30177296400052
68,1,1,CLEAR,0,0.0,off,no_alert,,69,2.288707,7982.947182246,7.335850065000159
69,1,1,CLEAR,0,0.0,off,no_alert,,70,2.319172,7982.981007812,7.369675631000064
70,1,1,CLEAR,0,0.0,off,no_alert,,71,2.352679,7983.014791654,7.403459473000112
71,1,1,CLEAR,0,0.0,off,no_alert,,72,2.385556,7983.048872396,7.437540214999899
72,1,1,CLEAR,0,0.0,off,no_alert,,73,2.420279,7983.083102389,7.471770207999725
73,1,1,CLEAR,0,0.0,off,no_alert,,74,2.45428,7983.11727902,7.505946838999989
74,1,1,CLEAR,0,0.0,off,no_alert,,75,2.486138,7983.151397173,7.540064992000225
75,1,1,CLEAR,0,0.0,off,no_alert,,76,2.519249,7983.185559249,7.574227068000255
76,1,1,CLEAR,0,0.0,off,no_alert,,77,2.552456,7983.219863866,7.608531685000344
77,1,1,CLEAR,0,0.0,off,no_alert,,78,2.585345,7983.254047058,7.642714876999889
78,1,1,CLEAR,0,0.0,off,no_alert,,79,2.618444,7983.287939696,7.676607514999887
79,1,1,CLEAR,0,0.0,off,no_alert,,80,2.654448,7983.322022199,7.7106900179996956
80,1,1,CLEAR,0,0.0,off,no_alert,,81,2.686222,7983.355991236,7.744659054999829
81,1,1,CLEAR,0,0.0,off,no_alert,,82,2.719395,7983.390109134,7.778776953000488
82,1,1,CLEAR,0,0.0,off,no_alert,,83,2.752958,7983.424154862,7.812822681000398
83,1,1,CLEAR,0,0.0,off,no_alert,,84,2.78614,7983.458144347,7.846812165999836
84,1,1,CLEAR,0,0.0,off,no_alert,,85,2.820649,7983.492006477,7.880674296000507
85,1,1,CLEAR,0,0.0,off,no_alert,,86,2.85274,7983.525744876,7.914412695000465
86,1,1,CLEAR,0,0.0,off,no_alert,,87,2.886016,7983.559667012,7.948334831000466
87,1,1,CLEAR,0,0.0,off,no_alert,,88,2.919178,7983.593619005,7.982286823999857
88,1,1,CLEAR,0,0.0,off,no_alert,,89,2.953006,7983.627488223,8.016156042000148
89,1,1,CLEAR,0,0.0,off,no_alert,,90,2.986225,7983.661544123,8.050211941999805
90,1,1,CLEAR,0,0.0,off,no_alert,,91,3.020424,7983.695678783,8.08434660200055
91,1,1,CLEAR,0,0.0,off,no_alert,,92,3.053293,7983.730040849,8.118708668000181
92,1,1,CLEAR,0,0.0,off,no_alert,,93,3.087631,7983.764481003,8.153148821999821
93,1,1,CLEAR,0,0.0,off,no_alert,,94,3.123413,7983.798812828,8.187480647000484
94,1,1,CLEAR,0,0.0,off,no_alert,,95,3.152524,7983.833350824,8.22201864300041
95,1,1,CLEAR,0,0.0,off,no_alert,,96,3.185833,7983.867721866,8.256389684999704
96,1,1,CLEAR,0,0.0,off,no_alert,,97,3.219279,7983.901905217,8.290573035999842
97,1,1,CLEAR,0,0.0,off,no_alert,,98,3.253453,7983.935882868,8.324550686999828
98,1,1,CLEAR,0,0.0,off,no_alert,,99,3.287431,7983.970025923,8.358693742000469
99,1,1,CLEAR,0,0.0,off,no_alert,,100,3.319142,7984.004307066,8.392974885000513
100,1,1,CLEAR,0,0.0,off,no_alert,,101,3.353741,7984.038236409,8.42690422800024
101,1,1,CLEAR,0,0.0,off,no_alert,,102,3.386003,7984.072143974,8.460811793000175
102,1,1,CLEAR,0,0.0,off,no_alert,,103,3.419238,7984.106105767,8.49477358600052
103,1,1,CLEAR,0,0.0,off,no_alert,,104,3.452612,7984.139953739,8.52862155799994
104,1,1,CLEAR,0,0.0,off,no_alert,,105,3.485858,7984.173791207,8.562459026000397
105,1,1,CLEAR,0,0.0,off,no_alert,,106,3.518877,7984.207533088,8.596200906999911
106,1,1,CLEAR,0,0.0,off,no_alert,,107,3.552369,7984.241243113,8.629910931999802
107,1,1,CLEAR,0,0.0,off,no_alert,,108,3.588539,7984.274975408,8.663643226999739
108,1,1,CLEAR,0,0.0,off,no_alert,,109,3.621969,7984.308729377,8.697397196000566
109,1,1,CLEAR,0,0.0,off,no_alert,,110,3.653506,7984.342756745,8.731424564000008
