dataset_role,source,normalization_mode,threshold,session,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,partial_observations,partial_rejected,partial_rejection_rate,accepted_outliers,max_abs_vz_mps,p99_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,mean_reacquisition_delay_frames,max_reacquisition_delay_frames,decision
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-17/phase5_challenge_dryrun_r06_analysis/observation_replay.csv,forward_z,1450.0,phase5_challenge_camera_mock_odom_r01_20260917_181900_391,742,742,741,0.9986522911051213,0,0,nan,0,0,nan,0,0.005536464508622885,0.001940768701024354,0,0,0,nan,nan,PASS
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-17/phase5_challenge_dryrun_r06_analysis/observation_replay.csv,calibrated_ground_distance,1450.0,phase5_challenge_camera_mock_odom_r01_20260917_181900_391,742,742,741,0.9986522911051213,0,0,nan,0,0,nan,0,0.005536464508622885,0.001940768701024354,0,0,0,nan,nan,PASS
diagnostic,/home/robo25/theta_ws/RICHO-theta/Experimental_results/2026-09-17/phase5_challenge_dryrun_r06_analysis/observation_replay.csv,raw_ground_distance,1450.0,phase5_challenge_camera_mock_odom_r01_20260917_181900_391,742,742,741,0.9986522911051213,0,0,nan,0,0,nan,0,0.005536464508622885,0.001940768701024354,0,0,0,nan,nan,PASS
