receive_monotonic_sec,elapsed_sec,stamp_sec,has_sequence,sequence,source,output_mode,action,command_active,output_active,requested_magnitude,applied_magnitude,pattern,reason,fault
10644.176485974,2.0019349550002516,1790242240.7020931,1,0,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.210018161,2.0354671420009254,1790242240.7356825,1,1,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.243286335,2.068735316001039,1790242240.7691157,1,2,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.276838719,2.1022877000013978,1790242240.8026416,1,3,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
10644.310492999,2.1359419800010073,1790242240.8363044,1,4,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
10644.344394011,2.169842991999758,1790242240.8698153,1,5,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.377753105,2.2032020860006014,1790242240.9034162,1,6,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.411355468,2.2368044490012835,1790242240.9371648,1,7,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.444740475,2.2701894560013898,1790242240.9705477,1,8,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
10644.478617349,2.3040663299998414,1790242241.0043442,1,9,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
10644.512085312,2.3375342930012266,1790242241.0378227,1,10,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.545863467,2.371312448000026,1790242241.0715733,1,11,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.579527842,2.4049768229997426,1790242241.105226,1,12,bird_eye,hardware,apply,1,1,0.05000000074505806,0.05000000074505806,1,manual_collision_ffb_probe:triple,0
10644.613011787,2.4384607680003683,1790242241.1386871,1,13,bird_eye,hardware,stop,0,0,0.0,0.0,0,inactive:clear,0
10644.646527694,2.4719766750004055,1790242241.1723866,1,14,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
10644.680280412,2.5057293930003652,1790242241.206094,1,15,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
10644.701137198,2.5265861790012423,1790242241.226637,1,16,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
10644.721378618,2.5468275990006077,1790242241.2469509,1,17,bird_eye,hardware,none,0,0,0.0,0.0,0,inactive:clear,0
