collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
63,1,1,CLEAR,0,0.0,off,no_alert,,64,2.124662,7990.644560706,7.174613046000559
64,1,1,CLEAR,0,0.0,off,no_alert,,65,2.159232,7990.67902059,7.20907292999982
65,1,1,CLEAR,0,0.0,off,no_alert,,66,2.190304,7990.713075002,7.243127341999752
66,1,1,CLEAR,0,0.0,off,no_alert,,67,2.23368,7990.747165201,7.277217541000027
67,1,1,CLEAR,0,0.0,off,no_alert,,68,2.269485,7990.781112246,7.311164585999904
68,1,1,CLEAR,0,0.0,off,no_alert,,69,2.299488,7990.815196305,7.345248645000538
69,1,1,CLEAR,0,0.0,off,no_alert,,70,2.342162,7990.849108418,7.379160757999671
70,1,1,CLEAR,0,0.0,off,no_alert,,71,2.378737,7990.882909584,7.4129619240002285
71,1,1,CLEAR,0,0.0,off,no_alert,,72,2.411018,7990.917131545,7.447183885000413
72,1,1,CLEAR,0,0.0,off,no_alert,,73,2.44424,7990.951112856,7.481165195999893
73,1,1,CLEAR,0,0.0,off,no_alert,,74,2.485472,7990.985198737,7.515251077000357
74,1,1,CLEAR,0,0.0,off,no_alert,,75,2.515724,7991.019296416,7.549348755999745
75,1,1,CLEAR,0,0.0,off,no_alert,,76,2.548683,7991.053321409,7.583373749000202
76,1,1,CLEAR,0,0.0,off,no_alert,,77,2.577497,7991.087351518,7.617403858000216
77,1,1,CLEAR,0,0.0,off,no_alert,,78,2.610303,7991.121364115,7.6514164549998895
78,1,1,CLEAR,0,0.0,off,no_alert,,79,2.646473,7991.155420026,7.685472365999885
79,1,1,CLEAR,0,0.0,off,no_alert,,80,2.680556,7991.18932734,7.719379680000202
80,1,1,CLEAR,0,0.0,off,no_alert,,81,2.718781,7991.223422624,7.753474963999906
81,1,1,CLEAR,0,0.0,off,no_alert,,82,2.751414,7991.257766221,7.787818560999767
82,1,1,CLEAR,0,0.0,off,no_alert,,83,2.794771,7991.292127235,7.8221795750005185
83,1,1,CLEAR,0,0.0,off,no_alert,,84,2.835814,7991.326450983,7.8565033229997425
