session,expected_x_m,expected_z_m,frames,duration_sec,detection_rate,measurement_acceptance_rate,track_rate,odom_available_rate,median_x_m,median_z_m,error_x_m,error_z_m,position_error_m,std_x_m,std_z_m
x-0.22m_z0.95m_20260818_162502_015,-0.22,0.95,159,6.316739,1.0,1.0,1.0,1.0,-0.2217,0.9046,-0.001700000000000007,-0.045399999999999996,0.04543181704488606,0.007359513770714702,0.007639389099415612
x-0.22m_z1.2m_20260818_162820_565,-0.22,1.2,169,6.719373,1.0,1.0,1.0,1.0,-0.2474,1.1816,-0.027400000000000008,-0.018399999999999972,0.033004848128721925,0.006265665413627071,0.0031460028809516777
x0.0m_z0.8m_20260818_162139_642,0.0,0.8,161,6.397981000000001,1.0,1.0,1.0,1.0,-0.0181,0.7732,-0.0181,-0.026800000000000046,0.03233960420289653,0.004968270218279759,7.541406091246895e-05
x0.0m_z1.0m_20260818_162224_840,0.0,1.0,169,6.715604,1.0,1.0,1.0,1.0,-0.0314,0.979,-0.0314,-0.02100000000000002,0.03777512408980281,0.0021678391608278835,3.7749438834875326e-05
x0.0m_z1.3m_20260818_162247_135,0.0,1.3,173,6.887901,1.0,1.0,1.0,1.0,-0.012,1.3149,-0.012,0.014899999999999913,0.019131387822110487,0.00493086887616862,0.0004631627107349624
x0.22m_z0.95m_20260818_162539_367,0.22,0.95,160,6.358774,1.0,1.0,1.0,1.0,0.212,1.0208,-0.008000000000000007,0.07079999999999997,0.07125054385757344,0.002737525613464654,0.0019258889992676239
x0.22m_z1.2m_20260818_162746_609,0.22,1.2,172,6.834345,1.0,1.0,1.0,1.0,0.213,1.2551,-0.007000000000000006,0.05510000000000015,0.055542866328629606,0.005798250071702384,0.0025386746242923495
