experiment_label,source,frames,detected_frames,measurement_accepted_frames,normalized_area_rejection_frames,measurement_acceptance_rate,median_x_m,median_z_m,median_area_px,median_normalized_area,normalized_area_threshold,median_normalized_area_to_threshold
x-0.22m_z0.9m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x-0.22m_z0.95m_20260818_162502_015,159,159,159,0,1.0,-0.2217,0.9046,3364.5,2745.859062004627,2503.678448310634,1.096729919074634
x-0.22m_z1.2m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x-0.22m_z1.2m_20260818_162820_565,169,169,169,0,1.0,-0.2474,1.1816,2248.0,3135.462673196413,2503.678448310634,1.2523423985664284
x0.0m_z0.8m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z0.8m_20260818_162139_642,161,161,161,0,1.0,-0.0181,0.7732,5385.5,3219.335537845063,2503.678448310634,1.2858422534320735
x0.0m_z1.0m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z1.0m_20260818_162224_840,169,169,169,0,1.0,-0.0314,0.979,3754.0,3597.819076938206,2503.678448310634,1.4370132392064354
x0.0m_z1.3m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.0m_z1.3m_20260818_162247_135,173,173,173,0,1.0,-0.012,1.3149,2407.5,4162.950288427865,2503.678448310634,1.6627336035251776
x0.22m_z0.9m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.22m_z0.95m_20260818_162539_367,160,160,160,0,1.0,0.212,1.0208,3117.5,3248.0467542840843,2503.678448310634,1.2973098667984764
x0.22m_z1.2m,/home/robo25/Downloads/recoding/recoding_08181630.tar.xz::x0.22m_z1.2m_20260818_162746_609,172,172,172,0,1.0,0.213,1.2551,2383.25,3750.9577467154113,2503.678448310634,1.498178709508956
