rule_id,experiment_label_glob,matched_trials,matched_labels,result,reasons
v0p10_approach_recording,approach_center_v0p10_r0[1-3]*,3,approach_center_v0p10_r01;approach_center_v0p10_r02;approach_center_v0p10_r03,FAIL,approach_center_v0p10_r03: track_rate=0.831721 < min_track_rate=0.950000
v0p10_retreat_recording,retreat_center_v0p10_r0[1-3]*,3,retreat_center_v0p10_r01;retreat_center_v0p10_r02;retreat_center_v0p10_r03,PASS,
v0p20_approach_recording,approach_center_v0p20_r0[124]*,3,approach_center_v0p20_r01;approach_center_v0p20_r02;approach_center_v0p20_r04,FAIL,approach_center_v0p20_r01: track_rate=0.614118 < min_track_rate=0.950000; approach_center_v0p20_r02: track_rate=0.598558 < min_track_rate=0.950000; approach_center_v0p20_r04: track_rate=0.678771 < min_track_rate=0.950000
